ID,date,news
1952804,12/31/2020,上交所年报预约披露时间表出炉，ST南化、宏发股份、上海家化将于2021年2月3日率先披露；中国平安、吉鑫科技将于2月4日、5日披露。
1951083,12/30/2020,中国平安125万股股票通过大宗交易以每股93.40港元的价格成交。
1944896,12/25/2020,【中航西飞、立讯精密等股获融资净买入额超亿元】据wind统计显示，12月24日共有765只个股获融资净买入，净买入金额在千万元以上的有198只，其中21只融资净买入额超亿元。中航西飞获融资净买入额居首，当日净买入3.21亿元；其次是立讯精密，融资净买入2.68亿元。此外，航天彩虹、京东方A、中国平安、阳光电源等股获融资净买入额超2亿元。
1943557,12/24/2020,上证综指午盘收跌0.21%，报3375.21点。中国平安对指数下跌拖累最大，下跌0.9%。 会稽山跌幅最大，下跌10.0%。午盘交易中，1
1940395,12/22/2020,【金融街：将金丰万晟100%股权及相应债权转让予平安人寿，交易价格暂定为37.1亿元】金融街公告，北京金丰万晟置业有限公司为公司控股子公司，由北京金丰融晟投资管理有限公司100%持股，公司全资子公司金融街长安（北京）置业有限公司和北京万科企业有限公司各持有金丰融晟50%股权。金丰万晟开发建设并持有运营金融街·万科丰科中心项目。长安置业、金丰融晟和北京万科拟与中国平安人寿保险股份有限公司签署协议，将金丰万晟100%股权及相应债权转让予平安人寿，交易价格暂定为37.1亿元，最终价款以股权和债权转让日金丰万晟的审计报告为准。
1940140,12/22/2020,大金融股午后加速走弱，哈投股份跳水逼近跌停，华鑫股份、长城证券、中银证券、中国太保、中国平安、厦门银行、青岛银行等纷纷走弱。
1940027,12/22/2020,上证综指午盘收跌0.20%，报3413.83点。 中国平安对指数下跌拖累最大，下跌1.8%。 湖南百利工程科技股份有限公司跌幅最大，下跌10.0%。午盘交易中，1
1935351,12/18/2020,【北上资金今日净流出13.62亿 洋河股份净卖出4.53亿】北上资金今日净流出13.62亿。洋河股份净卖出4.53亿，比亚迪净卖出2.24亿，泸州老窖净卖出1.92亿，中国平安净卖出1.50亿。
1930191,12/14/2020,  中国平安在港交所公告，1-11月，中国平安财产保险股份有限公司的原保险合同保费收入2624.49亿元人民币，寿险与健康保险业务保费收入4672.79亿元。
1929989,12/14/2020,中国平安：1-11月累计财产保费收入2624亿元，寿险与健康保险业务保费收入4673亿元。
1925335,12/11/2020,【北上资金“买不停”，八天抢筹逾300亿元】根据同花顺iFinD数据梳理，12月以来的8个交易日，上证指数冲高回落，累计跌幅达0.54%，而北上资金逆市加仓抢筹，累计净买入金额达305.28亿元。25只个股中，电子（5只）、非银金融（3只）、医药生物（3只）、食品饮料（3只）、电气设备（3只）等五个行业均有3只及以上个股入围。贵州茅台、恒生电子、隆基股份、中国平安等4只个股，期间北上资金净买入额居前，均超10亿元。（证券时报）
1922832,12/9/2020,港股保险板块回暖走高，中国太平涨3.9%，中国太保涨2.9%，友邦保险涨2.7%，中国平安涨2.2%，中国人寿涨1%。
1921962,12/8/2020,【北向资金今日净买入66.76亿元 贵州茅台净买入13.29亿元】北向资金今日净买入66.76亿元。贵州茅台、恒生电子、中国平安分别获净买入13.29亿元、4.8亿元、3.95亿元。京东方A净卖出额居首，金额为3.72亿元。
1921587,12/8/2020,上证综指午盘收跌0.25%，报3407.99点。中国平安对指数下跌拖累最大，下跌2.7%。 微芯生物跌幅最大，下跌10.2%。午盘交易中，1
1921526,12/8/2020,  港股保险股普跌，中国平安跌3.1%，新华保险跌1.6%，友邦保险跌1.1%，中国太保、中国人寿跌1%。
1920450,12/7/2020,  大金融板块继续走弱，郑州银行、兴业银行跌超4%，国信证券、招商证券、中国平安等个股纷纷走弱。
1915455,12/3/2020,【北上资金净流入35.94亿 比亚迪净买入8.72亿】北上资金今日净流入35.94亿。比亚迪净买入8.72亿，中国平安净买入5.28亿，恒生电子净买入3.36亿，恒瑞医药净买入3.23亿。
1913170,12/2/2020,中国平安在香港暂停交易。
1911475,12/1/2020,  恒指涨幅扩大至1%，工商银行、中国平安均涨超3%。
