id,date,news
1947429,12/28/2020,【中韩11家银行成为明年韩元对人民币直接交易做市商】韩国企划财政部和韩国银行（央行）28日指定11家银行为明年银行间外汇市场韩元对人民币直接交易做市商。这11家银行包括国民银行、新韩银行、友利银行、KEB韩亚银行、中小企业银行、产业银行6家韩国商业银行，以及中国交通银行、中国建设银行、中国工商银行、中国银行、汇丰银行。
1943653,12/24/2020,【53岁工行行长谷澍担任农业银行党委书记 有望出任董事长】记者从多个工行、农行人士处获悉，中国工商银行行长谷澍已到任中国农业银行，接替周慕冰出任党委书记，按照惯例还将出任董事长。农行原党委书记、董事长周慕冰已到退休年龄。 (澎湃)
1942342,12/23/2020,  工商银行：拟使用自有资金向本行全资子公司工银金融资产投资有限公司增资不超过人民币300亿元，增资后工银投资仍为本行全资子公司。
1940021,12/22/2020,【国信证券：政策为经济复苏保驾护航 利好银行基本面】国信证券指出，中央经济工作会议指出政策不急转弯，经济复苏态势延续，银行基本面改善的确定性和可持续性都比较高。当前银行板块绝对估值和相对其他板块的估值均处于历史低位附近，充分反映了市场对银行基本面的悲观预期，随着经济复苏悲观预期将有所修复，我们维持行业“超配”评级。个股方面，继续推荐长期成长性好、不良安全边际高的宁波银行、招商银行和常熟银行，同时推荐估值极低、基本面稳定的工商银行。
1939990,12/22/2020,  【工银理财换帅：顾建纲离任，原工银瑞信总经理王海璐接棒】近日，消息人士处获悉工商银行理财子公司——工银理财拟“换帅”。顾建纲不再兼任工银理财董事长，新任掌门人为原工银瑞信党委书记、总经理王海璐。同时，记者还了解到，工行对于此次调整酝酿已久，是对旗下各控股子公司协同发展的战略考量。（21世纪经济报道）
1926339,12/11/2020,【大商所与工商银行签产融培育基地合作协议】12月10日，大连商品交易所与中国工商银行举行了“产融培育基地合作协议签约仪式”。双方表示，下一步将以此次产融培育基地签约为契机，进一步拓展合作领域、深化服务实体经济、实现价值共赢共享，在线上标准仓单质押融资业务、数据互通、创新技术应用，以及优化“保险+期货+银行”模式等方面开展进一步合作。
1925823,12/11/2020,  【多只食品、医药股尾盘竞价砸盘 沪指集合竞价成交额高达116亿元】淮北矿业、步长制药、安井食品、百润股份、青岛啤酒、中炬高新、山西汾酒等多只食品、医药股尾盘竞价跌近3%。中信银行、工商银行、南京银行等竞价上涨，民生银行、招商银行、北京银行竞价下跌，沪市集合竞价成交额高达116亿元。
1923070,12/9/2020,【工商银行与民生银行签署全面合作协议】12月8日，工商银行董事长陈四清在京会见民生银行董事长高迎欣。双方就共同贯彻落实党的十九届五中全会精神、支持实体经济发展和国家重大发展战略等进行了深入交流，并签署全面合作协议。
1922029,12/8/2020,【上清所与欧洲清算银行签署合作协议 “玉兰债”业务启动】12月8日，上海清算所与欧洲清算银行签约暨“玉兰债”业务启动仪式在沪举办。上海清算所总经理周荣芳、欧洲清算银行总经理Valérie Urbain分别代表双方签署合作协议。工商银行上海分行与上海地区国资企业中具有较强影响力的锦江国际（集团）有限公司、上海临港经济发展（集团）有限公司共同签署了“玉兰债”承销意向合作协议。
1922026,12/8/2020,【上海清算所与欧洲清算银行签署合作协议并正式启动“玉兰债”业务】12月8日，上海清算所与欧洲清算银行签约暨“玉兰债”业务启动仪式在上海举行。上海清算所总经理周荣芳、欧洲清算银行总经理Valérie Urbain分别代表双方签署合作协议。工商银行上海分行与上海地区国资企业中具有较强影响力的锦江国际（集团）有限公司、上海临港经济发展（集团）有限公司共同签署了“玉兰债”承销意向合作协议。
1920442,12/7/2020,恒指进一步走低，跌幅扩大至2％。金融股和部分科技股下跌。招商银行跌超4%，建设银行、工商银行跌超3%；京东跌超3%，阿里巴巴、美团跌近3%。
1920364,12/7/2020,恒生指数跌幅扩大至1％，金融股跌幅居前，港交所、建设银行、工商银行跌约2％。
1917236,12/4/2020,上证综指连续三天走低，截至午盘收跌0.35%，报3430.03点。工商银行对指数下跌拖累最大，下跌2.0%。 华资实业跌幅最大，下跌10.0%。午盘交易中，1
1917105,12/4/2020,【花旗：上调工行等中资银行目标价 行业最坏时刻已经过去】花旗上调包括工商银行在内的中资银行目标价，称行业最坏时刻已经过去，覆盖的中资银行在今年第四季度盈利有望实现同比更快的增速。花旗上调工商银行H股目标价12%至6.48港元，建设银行H股11%至8.39港元；花旗更看好资本不足但盈利增长强劲的平安银行和兴业银行，目标价分别上调至23.75元和25.24元；国有大行建设银行和邮储银行等也将受益于利率上升的市场环境。
1915183,12/3/2020,上证综指午盘收跌0.09%，报3446.19点。 工商银行对指数下跌拖累最大，下跌1.1%。 大连圣亚跌幅最大，下跌10.0%。午盘交易中，1
1911991,12/1/2020,【澳门首笔全本地化澳门币债券成功发行，促进澳门经济复苏】“中国工商银行21亿元澳门都市发展金融债券”上市仪式1日在澳门举行，这标志着首笔全本地化澳门币债券成功发行，为澳门元资金投融资需求对接开辟了新渠道。此次发行募集的资金将主要用于支持澳门都市发展相关项目融资需求，促进澳门经济复苏。（央视新闻）
1911475,12/1/2020,  恒指涨幅扩大至1%，工商银行、中国平安均涨超3%。
1911459,12/1/2020,  港股内银股涨幅扩大，天津银行涨近14%，邮储银行涨近5%，工商银行、招商银行涨超3%。
1911302,12/1/2020,【规避价格波动风险10多家银行暂停贵金属交易开户】据不完全统计，近日，工商银行、建设银行、农业银行、中国银行、交通银行、邮储银行、招商银行、平安银行、兴业银行、北京农商银行、中信银行等11家银行已相继发布公告，将暂停贵金属交易相关业务的新开户申请。邮储银行研究员娄飞鹏表示，从长期角度看，贵金属价格整体呈现上涨态势。但贵金属市场价格大幅波动并不是正常现象，待市场价格走势相对稳定后，银行即可重启新开户。（证券日报）
1911244,12/1/2020,【机构：银行股估值修复行情仍可期待】11月最后一个交易日，银行股上演大逆转。受央行开展2000亿元中期借贷便利（MLF）操作刺激，银行股早盘纷纷上涨，支撑上证指数突破3400点。然而仅半个交易日后，银行股便全线回落走低。工商银行更是遭遇尾盘砸盘。不过，多家机构认为，银行股估值修复行情仍可期待。（中国证券报）
1910137,11/30/2020,港股内银股普涨，青岛银行涨近6%，工商银行涨超5%，建设银行、农业银行、招商银行涨超2%。
1906868,11/27/2020,  【海南矿业：拟向金融机构申请总额7.8亿元授信】海南矿业公告，为确保公司经营业务的顺利开展，补充公司流动资金，现拟向中国工商银行昌江支行等金融机构申请总额人民币7.8亿元的授信。公司将尽快向上述各家金融机构申请办理授信，授信期限均为一年，担保方式均为信用担保。
1906754,11/27/2020,【北上资金净流入24.76亿 上汽集团净买入3.13亿】北上资金今日净流入24.76亿。上汽集团、京东方Ａ、工商银行、立讯精密净买入居前，分别获净买入3.13亿元、2.25亿元、2.02亿元、1.93亿元。
1906595,11/27/2020,  工商银行：自北京时间2020年11月28日24:00起，暂停我行各渠道（包括柜面、手机银行、网上银行、工银e投资）个人账户黄金、账户白银业务新客户开立交易账户，已开户客户的正常交易不受影响。
1906564,11/27/2020,白马股尾盘拉升，上证50指数涨幅扩大至1%，工商银行涨超4%。
1906433,11/27/2020,  银行股涨幅扩大，成都银行涨超5%，工商银行涨超3%，建设银行涨2.7%。
1906362,11/27/2020,银行股盘中拉升，厦门银行涨超4%，成都银行、杭州银行涨超3%，工商银行涨近2%。
1904728,11/25/2020,【工商银行与国家管网集团签署战略合作协议】11月23日，中国工商银行与国家管网集团在北京签署战略合作协议。工商银行董事长陈四清，国家管网集团董事长张伟出席签约仪式。陈四清表示，工商银行将坚持把服务实体经济作为发展着力点，充分发挥自身优势，促进国家管网集团实现高质量发展。希望双方立足新发展阶段，坚持新发展理念，深化战略合作，实现互利共赢，为构建新发展格局作出新的更大贡献。
1904293,11/25/2020,【民企500强出炉：腾讯首次成为中国价值最高民企】今日，胡润百富发布2020年中国500强民营企业，上榜门槛为230亿元，比去年提高90亿元，增幅64%。腾讯市值比去年涨了2万亿，以4.98万亿首次成为中国价值最高民营企业；阿里巴巴以4.78万亿价值排到第二，比去年增长了25%；前两名腾讯和阿里巴巴都已经相当于两个多的茅台、近三个工商银行；美团价值增长至去年3倍，超过中国平安和蚂蚁集团，以1.63万亿进入前三。（21世纪经济报道）
1900028,11/21/2020,国务院办公厅督查室、银保监会通报部分银行保险机构助贷机构违规抬升小微企业综合融资成本典型问题，涉及工商银行部分分支机构、民生银行总行集团金融部和部分分支机构等。
1844543,9/30/2020,  汇丰、工商银行和花旗获聘请为土耳其财富基金安排欧元债券首次发行。
1843470,9/29/2020,工商银行：中国银保监会同意本行在境外发行不超过等值人民币400亿元的外币无固定期限资本债券，并按照有关规定计入本行其他一级资本。
1842138,9/28/2020,  【中国企业500强榜单发布，8家企业营收过万亿】28日，中国企业联合会、中国企业家协会发布2020中国企业500强榜单，其中中国石化、国家电网、中国石油位列前三。今年500强入围门槛升至359.61亿元，上榜企业中营收规模超过1000亿元的企业增至217家，其中有8家企业营收超过了1万亿元，分别是中国石化、中国石油、国家电网、中国建筑、中国工商银行、中国平安、中国建设银行、中国农业银行。
1842049,9/28/2020,“2020中国企业500强”揭晓。中石化以2.81万亿营收排名第一，国家电网、中石油、中国建筑，工商银行、中国平安、建设银行、农业银行、中国银行、中国人寿进入前十。
1841660,9/27/2020,【中国人寿：增持并举牌工商银行H股股票，持股比例上升至5.0219%】中国保险行业协会官网9月27日披露信息显示，中国人寿保险股份有限公司日前增持并举牌工商银行股份有限公司H股股票。据悉，9月21日，该公司通过港股二级市场买入工商银行H股股份，增持资金来源为保险责任准备金。交易完成后，该公司持有工商银行H股股份约43.59亿股，持股比例由4.9989%上升至5.0219%。
1840600,9/27/2020,【贾康：蚂蚁A+H股同步上市不会对市场流动性造成明显冲击】近期有市场观点提出，新股发行加速，特别是蚂蚁集团将在A+H股同步上市，或将刷新全球最大的IPO记录，市场存在承压挑战。9月27日，华夏新供给研究院首席经济学家贾康表示，蚂蚁A+H股同步上市，不会对市场流动性造成明显冲击。A股不缺资金，而是缺少优质公司。就像十几年前承受工商银行上市，A股市场目前也能承受住蚂蚁上市。（中证报）
1840580,9/27/2020,【北向资金本周减仓近1000只股票！这些股票被逆势加仓（附名单）】本周市场震荡下跌，上证指数、深证成指、创业板指分别累计下跌3.56%、3.25%、2.14%。数据显示，本周北向资金连续5个交易日净流出，累计净流出金额为247.10亿元，为今年以来单周净流出金额第五高。本周北向资金对992只股进行减仓，对459只股进行加仓。减仓股数最多的京东方A被减仓8204.36万股，此外工商银行、民生银行、光大银行被分别减仓6401.07万股、5801.82万股、5305.58万股。本周北向资金对20只股的加仓股数超过1000万股，加仓股数最多的紫金矿业被加仓1.26亿股，此外加仓中材国际、万丰奥威、长安汽车、中国建筑超2000万股。 （中证报）
