id,date,news
1951058,12/30/2020,  【券商私募业务全面爆发 中信证券销售800亿】据了解，中信证券今年私募销售的规模近800亿元，创下了券商行业代销私募产品的历史纪录，在部分股票私募产品的销售中甚至超过“零售之王”招商银行。 (证券时报)
1948634,12/29/2020,  【券商代销私募产品创历史新高 合作私募百里挑一】伴随着私募基金的快速增长，券商代销业务也迎来大爆发。中信证券今年私募代销的规模近800亿元，创下券商行业代销私募产品的历史纪录，在部分股票私募产品的销售中甚至超过“零售之王”招商银行。值得注意的是，银河证券年内私募的代销规模突破300亿元，这也意味着今年多家券商的代销规模创新高。与此同时，由于券商代销热衷头部私募，数家大券商相关负责人直言合作私募机构不超过行业规模的1%，大量资金开始向头部私募聚拢。
1945495,12/26/2020,【券商推荐的2021年十大行业十大“金”股出炉】梳理51家券商988份2021年行业策略报告，发现券商共推荐了1097家公司3959次，推荐个股涉及申万全部28类一级行业。据此统计，被券商推荐个股数行业占比居前十的申万一级行业分别是：食品饮料、银行、农林牧渔、电子、计算机、建筑材料、交通运输、钢铁、医药生物、传媒，行业荐股率均超30%。十大“金”股分别是：五粮液、贵州茅台、迈瑞医疗、用友网络、宝信软件、完美世界、招商银行、福莱特、立讯精密、春秋航空。十大行业中农林牧渔和钢铁行业的股票因排名居最后而无缘2021年十大“金”股之列。食品饮料排名第一。（证券日报）
1941750,12/23/2020,【大家人寿一年多来首度减持招商银行，陆续套现超11亿元】记者从港交所披露信息获悉，12月17日，大家人寿卖出了1930多万股招商银行A股，对招行持股数量降至12.32亿股。四季度以来，大家人寿对招行持股数量减少了2655万股，对招行持股比例从4.99%降至4.89%，这轮减持变现或超11亿元。自去年7月安邦重组为大家保险一年多来，大家保险已陆续减持了中国建筑、万科A、欧亚集团、大商股份等股票，对招商银行的减持还是第一次。（券商中国）
1940021,12/22/2020,【国信证券：政策为经济复苏保驾护航 利好银行基本面】国信证券指出，中央经济工作会议指出政策不急转弯，经济复苏态势延续，银行基本面改善的确定性和可持续性都比较高。当前银行板块绝对估值和相对其他板块的估值均处于历史低位附近，充分反映了市场对银行基本面的悲观预期，随着经济复苏悲观预期将有所修复，我们维持行业“超配”评级。个股方面，继续推荐长期成长性好、不良安全边际高的宁波银行、招商银行和常熟银行，同时推荐估值极低、基本面稳定的工商银行。
1933500,12/17/2020,【陈光明又出爆款产品，联手招行，50亿”一抢而空”】据渠道人士透露，本周初，招商银行主代销的睿远稳见专户系列首发当日再现火热发行，尽管设置了300万的购买门槛，当天上午，50亿额度基本上一抢而空，专户发行市场也出现“一日售罄”的局面。（中国基金报）
1929984,12/14/2020,【北上资金净流入2.23亿 五粮液净买入5.13亿】北上资金今日净流入2.23亿。五粮液、洛阳钼业、恒瑞医药、招商银行净买入居前，分别获净买入5.13亿元、2.53亿元、2.09亿元、1.78亿元。
1929112,12/14/2020,港股银行股走高，中银香港涨超3%，中国光大银行涨超2%，招商银行、中国银行涨超1%。
1926097,12/11/2020,  【招商银行：获准筹建独立法人直销银行】招商银行晚间公告，公司当日收到《中国银保监会关于筹建招商拓扑银行股份有限公司的批复》。根据该批复，公司获准在上海市与网银在线（北京）商务服务有限公司共同筹建招商拓扑银行股份有限公司，公司与网银在线（北京）商务服务有限公司分别认购招商拓扑银行股份有限公司14亿股、6亿股普通股股份，入股比例分别为70%、30%。
1926070,12/11/2020,招商银行公告，本公司获准在上海市与网银在线（北京）商务服务有限公司共同筹建招商拓扑银行股份有限公司，本公司与网银在线（北京）商务服务有限公司入股比例分别为70%、30%。筹建工作完成后，本公司将按照有关规定和程序向中国银行保险监督管理委员会提出开业申请。
