id,date,news
1953026,12/31/2020,【12月31日《新闻联播》主要内容】今天《新闻联播》主要内容有：1、国家主席习近平发表二〇二一年新年贺词；2、央视快评：继续奋斗 创造更加灿烂的辉煌——2021年新年献词；3、全国政协举行新年茶话会 习近平发表重要讲话；4、习近平同德国 法国 欧盟领导人举行视频会晤 中欧领导人共同宣布如期完成中欧投资协定谈判；5、中俄两国元首互致新年贺电 中俄两国总理互致新年贺电；6、人民日报评论员文章：胸怀两个大局 做好“三农”工作——论学习贯彻中央农村工作会议精神；7、央视快评：推动新发展阶段改革取得更大突破；9、中央组织部从代中央管理党费中划拨1.97亿元用于元旦春节期间走访慰问生活困难党员、老党员、老干部；10、中欧投资协定是平衡 高水平 互利共赢的协定；11、我国首支新冠病毒疫苗获批附条件上市；12、假日临近 各地强化措施防控疫情；13、国家卫生健康委通报最新疫情；14、中央广播电视总台精彩节目陪您欢度元旦。
1952964,12/31/2020,  上交所发布对贵州茅台酒股份有限公司时任董事长高卫东予以监管关注的决定，高卫东作为公司时任董事长，通过非法定信息披露渠道自行对外发布涉及公司经营的重要信息，上述行为违反了《上海证券交易所股票上市规则》。
1952874,12/31/2020,【机构抱团行业龙头股全年涨幅一览】2020年机构抱团白酒、锂电池、医疗、光伏等板块，相关行业龙头股暴涨。隆基股份全年累涨277%，宁德时代全年累涨230%，白酒三巨头贵州茅台、五粮液、泸州老窖全年分别涨71%、123%、166%。
1952763,12/31/2020,【贵州茅台酒厂战略管理部一级管理员张连钊接受审查调查】据贵州省纪委监委网站消息，中国贵州茅台酒厂（集团）有限责任公司战略管理部一级管理员张连钊涉嫌严重违纪违法，经贵州省纪委省监委指定管辖，目前正接受黔东南州纪委州监委纪律审查和监察调查。
1952698,12/31/2020,贵州茅台涨超3％，市值首次突破2.5万亿元。
1952455,12/31/2020,  【贵州茅台2020年度供应商大会取消】因为疫情防控需要，茅台将取消2020年度供应商大会。这是茅台集团10年来首次取消供应商大会。贵州茅台2020年度供应商大会原定于2021年1月7日举行。
1952445,12/31/2020,【贵州茅台多个省区再出“稳市稳价招” 确保春节期间每天都有酒卖】茅台时空消息，“双节”将至，贵州茅台酒销售公司在福建、安徽、山东、北京、贵州、宁夏、山西、辽宁、四川、云南、陕西、河南、广西多地分别召开市场工作专题会议，确保“稳市”“稳价”，共同维护茅台酒市场健康、稳定发展。据介绍，贵州各经销商、专卖店将做好销售计划，安排错峰销售，持续做好疫情防控相关措施，省区各区域负责人蹲点做好服务和指导销售，确保春节期间每天都有酒卖。
1951976,12/30/2020,贵州茅台：国有股份无偿划转完成过户登记，完成后茅台集团持有公司54%股权，贵州省国有资本运营有限责任公司和贵州金融控股集团有限责任公司合计持有公司4.96%股权。
1951925,12/30/2020,【北上资金净流入64.40亿 京东方Ａ净买入10.42亿】北上资金今日净流入64.40亿。京东方Ａ、比亚迪、东方财富、贵州茅台净买入居前，分别获净买入10.42亿元、9.90亿元、8.92亿元、5.99亿元。
1951127,12/30/2020,贵州茅台涨超2％，报1913元，再创新高。
1951043,12/30/2020,从晨星方面获悉，截至2020年三季度末，美国万亿资管巨头资本集团旗下的一只基金持有761万股贵州茅台，价值18.71亿美元，折合人民币122.17亿元，为全球持有贵州茅台市值最多的单只基金。（中证报）
