Date,Unnamed: 0,Id,Ts Code,Amount_x,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,r5,Ret,PE,PB,PS,Turnover,CirculatedMarketValue,ChangeRatio,Liquidility,MA_5,MA_7,MA_21,20sd,upper_band,lower_band,RSI,EMA_12,EMA_26,MACD,Signal_Line,W%R,K,D,J,up_move,down_move,plus_dm,minus_dm,TR,plus_di,minus_di,DX,ADX,ADXR,momentum
1/16/2018,0,1080,601628.SH,858415.889,-0.09,31.35,31.44,30.91,31.33,-0.29,31.44,275531.89,0.468578491,0.587770565,11.9,15.68,4.71,8.16,43.4,0.510367,27.473367,2.723859,1.971421,0.00132,8.86099E+11,-0.00286,1.00E-05,,,,,,,,31.35,31.35,0,0,,,,,,,0,0,0.53,,,,,,30.35
1/17/2018,1,1079,601628.SH,1210640.232,0.48,31.83,32.18,31.23,31.36,1.53,31.35,380982.1,0.345675106,0.574966954,11.7,15.67,4.98,8.22,42.92,0.50267,27.894012,2.765564,2.001605,0.00183,8.99666E+11,0.01531,1.00E-05,,,,,,,,31.42384615,31.38555556,0.038290598,0.00765812,,,,,0.74,0.32,0.74,0,0.95,,,,,,30.83
1/18/2018,2,1078,601628.SH,967318.278,-0.24,31.59,32.33,31.2,32.01,-0.75,31.83,304993.97,0.460692742,0.548398089,11.72,15.7,4.99,8.18,44.6,0.506489,27.683689,2.744711,1.986513,0.00146,8.92882E+11,-0.00754,1.00E-05,,,,,,,,31.44940828,31.40069959,0.048708696,0.015868235,,,,,0.15,0.03,0.15,0,1.13,,,,,,30.59
1/19/2018,3,1077,601628.SH,819326.41,-0.43,31.16,31.74,30.99,31.51,-1.36,31.59,262193.79,0.596343229,0.526117907,11.71,15.71,42.29,8.2,41.88,0.513479,27.306862,2.707351,1.959473,0.00126,8.80728E+11,-0.01361,1.00E-05,,,,,,,,31.40488393,31.38286999,0.022013943,0.017097377,,,,,-0.59,0.21,0,0.21,0.75,,,,,,30.16
1/20/2018,4,1076,601628.SH,896256.119,-0.23,31.265,31.86,30.915,31.545,-0.73,31.495,285869.135,0.326064517,0.500376118,11.91,15.67,23.405,8.275,41.47,0.5118095,27.3988775,2.7164735,1.9660755,0.00137,8.83696E+11,-0.0073,1.00E-05,31.439,,,,,,,31.38336333,31.37413888,0.009224449,0.015522791,,,,,0.12,0.075,0.12,0,0.945,,,,,,30.265
1/21/2018,5,1075,601628.SH,853023.3285,-0.12,31.145,31.615,30.93,31.245,-0.375,31.265,273425.185,0.611439156,0.999996764,11.785,15.775,42.125,8.265,40.165,0.5137265,27.2937165,2.7060475,1.9585295,0.001315,8.80304E+11,-0.003735,1.00E-05,31.398,,,,,,,31.34669205,31.35716563,-0.010473582,0.010323516,,,,,-0.245,0.015,0,0.015,0.685,,,,,,30.145
1/22/2018,6,1074,601628.SH,825193.96,-0.22,30.94,31.39,30.63,31.08,-0.71,31.16,266744.3,0.430057273,0.376767555,12.1,15.64,41.82,8.37,38.34,0.51713,27.114066,2.688236,1.945638,0.00128,8.7451E+11,-0.00706,1.00E-05,31.22,31.32571429,,,,,,31.28412404,31.32626447,-0.042140432,-0.000169273,,,,,-0.225,0.3,0,0.3,0.76,,,,,,29.94
1/23/2018,7,1073,601628.SH,886720.247,0.19,31.13,31.49,30.87,30.98,0.61,30.94,284656.58,0.42555271,0.498145293,11.86,15.84,41.96,8.33,38.45,0.513974,27.280571,2.704744,1.957586,0.00137,8.7988E+11,0.00614,1.00E-05,31.128,31.29428571,,,,,,31.26041265,31.31172636,-0.051313713,-0.010398161,,,,,0.1,0.24,0,0.24,0.62,,,,,,30.13
1/24/2018,8,1072,601628.SH,795789.842,-0.2,30.93,31.56,30.71,31.3,-0.64,31.13,256209.77,0.496653318,0.388984899,12.4,15.8,42.6,8.43,39.44,0.517297,27.105303,2.687367,1.94501,0.00123,8.74227E+11,-0.00642,1.00E-05,31.082,31.16571429,,,,,,31.20957993,31.28345034,-0.073870402,-0.023092609,,,,,0.07,0.16,0,0.16,0.85,,,,,,29.93
1/25/2018,9,1071,601628.SH,1037487.757,-0.64,30.29,30.87,29.93,30.85,-2.07,30.93,343545.22,0.513919195,0.392436815,11.92,15.81,41.57,8.4,41.24,0.528227,26.544443,2.63176,1.904764,0.00165,8.56138E+11,-0.02069,1.00E-05,30.887,30.98,,,,,,31.0681061,31.20986142,-0.141755324,-0.046825152,,,,,-0.69,0.78,0,0.78,0.94,,,,,,29.29
1/26/2018,10,1070,601628.SH,844788.095,0.87,31.16,31.23,30.19,30.2,2.87,30.29,274651.16,0.368536122,0.404172264,11.89,15.74,4.95,8.38,39.41,0.513479,27.306862,2.707351,1.959473,0.00132,8.80728E+11,0.02872,1.20E-05,30.89,30.98,,,,,,31.08224362,31.20616798,-0.123924362,-0.062244994,,,,,0.36,0.26,0.36,0,1.04,,,,,,30.16
