Date,Unnamed: 0,Id,Ts Code,Amount_x,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,r5,Ret,PE,PB,PS,Turnover,CirculatedMarketValue,ChangeRatio,Liquidility,MA_5,MA_7,MA_21,20sd,upper_band,lower_band,RSI,EMA_12,EMA_26,MACD,Signal_Line,W%R,K,D,J,up_move,down_move,plus_dm,minus_dm,TR,plus_di,minus_di,DX,ADX,ADXR,momentum
2018-01-16,0,1080,601318.SH,11730259.42,0.16,77.81,79.48,77.2,77.68,0.21,77.65,1501643.17,0.478055069,0.899598171,3.12,8.71,6.5,46.49,5.55,2.210513,15.966074,2.419365,1.946889,0.01386,1422390000000.0,0.00206,2e-06,,,,,,,,77.81,77.81,0.0,0.0,,,,,,,0.0,0.0,2.280000000000001,,,,,,76.81
2018-01-17,1,1079,601318.SH,11007901.75,-0.47,77.34,79.35,76.5,78.1,-0.6,77.81,1413574.16,0.445702955,0.999999966,3.1,8.76,6.7,41.84,5.59,2.223946,15.869633,2.404751,1.935129,0.01305,1413790000000.0,-0.00604,2e-06,,,,,,,,77.7376923076923,77.7751851851852,-0.03749287749289465,-0.00749857549857893,,,,,-0.13000000000000966,0.7000000000000028,0.0,0.7000000000000028,2.8499999999999943,,,,,,76.34
2018-01-18,2,1078,601318.SH,16276293.93,0.27,77.61,80.11,77.08,78.56,0.35,77.34,2074471.38,0.454835788,0.999999983,3.11,8.78,6.7,39.55,5.58,2.216209,15.925035,2.413146,1.941885,0.01915,1418730000000.0,0.00349,2e-06,,,,,,,,77.7180473372781,77.76294924554185,-0.0449019082637534,-0.014979242051613825,,,,,0.7600000000000051,0.5799999999999983,0.7600000000000051,0.0,3.030000000000001,,,,,,76.61
2018-01-19,3,1077,601318.SH,12121952.91,-0.02,77.59,79.06,76.89,78.3,-0.03,77.61,1553809.12,0.459808846,0.627047336,3.1,8.72,6.19,38.48,5.56,2.216781,15.920931,2.412524,1.941385,0.01434,1418360000000.0,-0.00026,1e-06,,,,,,,,77.69834774692762,77.75013819031652,-0.051790443388895824,-0.022341482319070224,,,,,-1.0499999999999972,0.18999999999999773,0.0,0.18999999999999773,2.1700000000000017,,,,,,76.59
2018-01-20,4,1076,601318.SH,12898106.9675,0.71,78.175,79.655,77.065,77.83500000000001,0.915,77.465,1645177.12,0.471605045,0.666644135,3.11,8.79,6.445,38.995,5.57,2.2003065,16.040969,2.4307135,1.956022,0.015185,1429060000000.0,0.009155,1.5e-06,77.705,,,,,,,77.77167886278492,77.78160943547826,-0.009930572693335193,-0.01985930039392322,,,,,0.5949999999999989,0.17499999999999716,0.5949999999999989,0.0,2.5900000000000034,,,,,,77.175
2018-01-21,5,1075,601318.SH,13714631.375,0.0,78.17500000000001,80.17,77.59,79.3,0.0,78.175,1736853.76,0.550171001,0.666545583,3.115,8.825,6.145,38.64,5.58,2.2003155000000003,16.040969,2.4307135,1.956022,0.01603,1429055000000.0,-4.999999999999986e-06,1e-06,77.77799999999999,,,,,,,77.83372826851033,77.81074947729469,0.022978791215635397,-0.011291682072011498,,,,,0.5150000000000006,0.5250000000000057,0.0,0.5250000000000057,2.5799999999999983,,,,,,77.17500000000001
2018-01-22,6,1074,601318.SH,9519920.005,1.15,78.74,79.2,77.05,77.11,1.48,77.59,1215882.86,0.479409758,0.655028421,3.11,8.8,6.19,38.44,5.56,2.184404,16.156903,2.448281,1.970159,0.01122,1439390000000.0,0.01482,1e-06,78.05799999999999,77.92,,,,,,77.97315468873951,77.87958284934693,0.09357183939258107,0.009681022220907014,,,,,-0.9699999999999989,0.5400000000000063,0.0,0.5400000000000063,2.1500000000000057,,,,,,77.74
2018-01-23,7,1073,601318.SH,15307309.84,0.02,78.76,81.28,78.29,80.3,0.03,78.74,1919898.4,0.45208243,0.006158527,3.13,8.93,6.1,38.8,5.6,2.18385,16.161007,2.448903,1.970659,0.01772,1439750000000.0,0.00025,1e-06,78.28800000000001,78.05571428571429,,,,,,78.0942078135488,77.94479893458049,0.14940887896831612,0.03762659357038883,,,,,2.0799999999999983,1.240000000000009,2.0799999999999983,0.0,2.989999999999995,,,,,,77.76
2018-01-24,8,1072,601318.SH,13089919.95,-2.32,76.44,79.44,76.38,79.0,-2.95,78.76,1689141.04,0.430203176,0.76792771,3.12,8.94,6.19,39.55,5.72,2.250131,15.684959,2.376767,1.91261,0.01559,1397340000000.0,-0.02946,1e-06,78.05799999999999,77.92714285714285,,,,,,77.83971430377207,77.83333234683379,0.006381956938284361,0.03137766624396794,,,,,-1.8400000000000034,1.9100000000000108,0.0,1.9100000000000108,3.0600000000000023,,,,,,75.44
2018-01-25,9,1071,601318.SH,9292249.846,-1.15,75.29,75.99,74.8,75.93,-1.5,76.44,1234396.52,0.422361034,0.999979643,3.13,8.89,6.19,39.6,5.71,2.2845,15.448987,2.34101,1.883836,0.0114,1376320000000.0,-0.01504,1e-06,77.48100000000001,77.5957142857143,,,,,,77.44745056473022,77.64493735817942,-0.19748679344920106,-0.01439522569466586,,,,,-3.450000000000003,1.5799999999999983,0.0,1.5799999999999983,1.1899999999999977,,,,,,74.29
