Id,Date,Ts Code,Amount,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,r5
0,12/31/2020,601318.SH,6906071.809,1.1,86.98,87.68,85.59,85.59,1.2809,85.88,795809.39,0.488069158,0.02550003,1.89,6.8,6.38,2.41,8.82
1,12/30/2020,601318.SH,4803060.806,0.38,85.88,85.88,84.18,85.2,0.4444,85.5,565707.26,0.437762109,0.381334143,1.89,6.36,6.18,2.7,8.29
2,12/29/2020,601318.SH,4440460.41,0.88,85.5,86.08,84.69,84.95,1.0399,84.62,519315.64,0.546383863,0.468916331,1.91,6.42,6.7,2.45,8.21
3,12/28/2020,601318.SH,5351448.827,1.42,84.62,85.19,82.85,83.45,1.7067,83.2,635199.48,0.49252153,0.468916331,1.9,6.97,6.19,19.86,8.36
4,12/27/2020,601318.SH,5351448.827,1.42,84.62,85.19,82.85,83.45,1.7067,83.2,635199.48,0.554356841,0.468916331,,,,,
5,12/26/2020,601318.SH,5712810.724,-1,83.2,83.6,81.86,83.6,-1.1876,84.2,691407.97,0.494431121,0.468916331,,,,,
6,12/25/2020,601318.SH,5712810.724,-1,83.2,83.6,81.86,83.6,-1.1876,84.2,691407.97,0.400889329,0.999914821,1.91,7.2,6.29,19.46,8.37
7,12/24/2020,601318.SH,4424690.022,-0.65,84.2,85.35,83.69,85.3,-0.7661,84.85,524790.68,0.407185955,0.118458583,1.9,6.38,6,19.7,8.27
8,12/23/2020,601318.SH,4650859.41,0.7,84.85,85.39,83.77,84.22,0.8318,84.15,550371.1,0.429616559,0.499006455,1.93,6.61,6.44,2.6,8.3
9,12/22/2020,601318.SH,8391031.072,-2.9,84.15,87.04,83.75,87.04,-3.3314,87.05,985959.63,0.406997722,0.810449314,1.95,6.31,6.55,2.61,8.41
10,12/21/2020,601318.SH,5206712.773,-0.74,87.05,87.75,86.01,87,-0.8429,87.79,599732.57,0.472231888,0.560943639,1.96,6.5,6.56,21.42,8.55
11,12/20/2020,601318.SH,5206712.773,-0.74,87.05,87.75,86.01,87,-0.8429,87.79,599732.57,0.590662546,0.576281524,,,,,
