Id,Date,Ts Code,Amount,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,r5
0,12/31/2020,000858.SZ,4661694.421,4.97,291.85,294.47,288,288.01,1.7324,286.88,160038.3,0.487525547,0.572465812,4.68,3.75,6.18,23.97,9.69
1,12/30/2020,000858.SZ,4826857.468,5.88,286.88,287.6,281.26,282.89,2.0925,281,168825.39,0.495854829,0.786232773,4.63,3.8,6.11,23.66,9.84
2,12/29/2020,000858.SZ,4136060.906,-4.95,281,286.66,279.18,286.08,-1.7311,285.95,146589.3,0.462859074,0.786232773,4.68,3.93,5.97,22.5,9.49
3,12/28/2020,000858.SZ,5490499.481,10.03,285.95,286.16,275.98,276,3.6351,275.92,193812.09,0.489529053,0.786232773,4.48,3.91,5.86,22.64,9.91
4,12/27/2020,000858.SZ,,,,,,,,,,0.492073344,0.786232773,,,,,
5,12/26/2020,000858.SZ,,,,,,,,,,0.53457527,0.999999733,,,,,
6,12/25/2020,000858.SZ,3051169.983,0.6,275.92,277.43,271.5,272.6,0.2179,275.32,111113.9,0.497535681,0.786232773,4.53,3.79,6.8,23.16,1
7,12/24/2020,000858.SZ,4293939.903,-2.97,275.32,278.9,272.36,276,-1.0672,278.29,156160.76,0.49358146,0.99988326,4.44,4.34,5.84,22.3,9.46
8,12/23/2020,000858.SZ,7103972.923,-4.09,278.29,288.5,275,283,-1.4484,282.38,252215.86,0.434598314,0.003445328,4.52,5.42,5.93,22.64,1.22
9,12/22/2020,000858.SZ,5338602.866,0.47,282.38,288,281.97,282.98,0.1667,281.91,187063.71,0.477135544,0.563021158,4.45,5.45,5.93,23.12,9.85
10,12/21/2020,000858.SZ,4537599.926,5.05,281.91,281.98,275.31,275.31,1.824,276.86,161889.78,0.53096692,0.999999952,4.42,5.64,6.1,23.48,9.8
11,12/20/2020,000858.SZ,,,,,,,,,,0.592232806,0.725430367,,,,,
12,12/19/2020,000858.SZ,,,,,,,,,,0.543199585,0.679668806,,,,,
13,12/18/2020,000858.SZ,4179755.003,-0.95,276.86,279.68,274.08,276.9,-0.342,277.81,150825.25,0.472403997,1,4.31,5.6,6.7,23.27,9.88
14,12/17/2020,000858.SZ,5547260.94,3.48,277.81,280,274.21,274.54,1.2685,274.33,199760.98,0.490762968,0.999896988,4.27,5.68,6.16,22.72,9.72
15,12/16/2020,000858.SZ,4392611.714,3.53,274.33,275,272,273,1.3035,270.8,160254.87,0.454652142,0.828002879,4.2,5.56,6.19,22.47,8.84
16,12/15/2020,000858.SZ,3949335.198,-2.35,270.8,273.3,267.31,273.15,-0.8603,273.15,146118.14,0.489350072,0.872166499,4.17,5.63,6.18,22.82,9.38
17,12/14/2020,000858.SZ,4937790.46,5.63,273.15,273.5,266.08,268.5,2.1045,267.52,181744.24,0.510370461,1,4.16,5.57,6.16,22.99,9.64
18,12/13/2020,000858.SZ,,,,,,,,,,0.616261963,0.896622529,,,,,
19,12/12/2020,000858.SZ,,,,,,,,,,0.496983028,0.932781482,,,,,
20,12/11/2020,000858.SZ,3995342.178,-0.15,267.52,269.99,263.4,268.85,-0.056,267.67,150052.55,0.496379895,0.921578396,4.13,5.5,6.39,23.3,9.58
21,12/10/2020,000858.SZ,3611981.639,-2.05,267.67,272,267.3,269,-0.76,269.72,134102.08,0.419376045,0.908525297,4.3,5.72,6.39,22.6,9.62
22,12/9/2020,000858.SZ,3166929.094,-2.28,269.72,274,269.5,273,-0.8382,272,116776.49,0.50937656,0.9219457,4.28,5.68,6.42,22.7,9.45
23,12/8/2020,000858.SZ,4019960.93,1.76,272,274.05,268.55,271.55,0.6513,270.24,147775.62,0.48273197,0.930242234,4.37,6.1,6.44,22.17,9.1
24,12/7/2020,000858.SZ,5339342.747,3.05,270.24,275.2,267.21,267.21,1.1415,267.19,196216.18,0.546256501,0.983533202,4.39,6.11,6.33,22.28,9.6
25,12/6/2020,000858.SZ,,,,,,,,,,0.564299807,0.933101052,,,,,
26,12/5/2020,000858.SZ,,,,,,,,,,0.5178533,0.933154314,,,,,
27,12/4/2020,000858.SZ,4536004.928,5.56,267.19,268,260.15,260.5,2.1251,261.63,170511.4,0.518588211,0.935083633,4.42,6.23,6.4,22.36,8.9
28,12/3/2020,000858.SZ,2403046.138,1.08,261.63,262,258.97,260.06,0.4145,260.55,92086.85,0.520125069,0.939510023,4.48,6.29,6.42,22.6,8.91
29,12/2/2020,000858.SZ,3028626.146,2.56,260.55,261.99,257.1,260,0.9923,257.99,116377.63,0.505504315,0.94243741,4.51,6.3,6.28,22.48,9.4
30,12/1/2020,000858.SZ,3509920.228,3.99,257.99,258.88,255,255,1.5709,254,136480.57,0.480755322,0.944469939,4.43,6.31,6.12,22.25,1.17
31,11/30/2020,000858.SZ,5419775.805,-8.3,254,261.99,253.65,260.65,-3.1643,262.3,211741.04,0.410638901,0.99655048,4.39,6.18,6.1,22.15,1.36
32,11/29/2020,000858.SZ,,,,,,,,,,0.480877875,0.9485343,,,,,
33,11/28/2020,000858.SZ,,,,,,,,,,0.426564451,0.951097631,,,,,
34,11/27/2020,000858.SZ,2933632.286,1.72,262.3,262.31,258.1,260.58,0.6601,260.58,112592.9,0.496304633,0.52032258,4.4,6.17,6.12,22.78,1.24
35,11/26/2020,000858.SZ,5158676.272,-2.39,260.58,265.18,252.7,262.17,-0.9088,262.97,199052.29,0.441872597,0.335467521,4.43,6.27,5.93,22.6,1.4
36,11/25/2020,000858.SZ,4404834.698,-8.82,262.97,272.39,262.81,271.8,-3.2452,271.79,165594.4,0.404154863,0.999995712,4.37,6.35,6.1,23.98,9.13
37,11/24/2020,000858.SZ,3370155.283,-0.79,271.79,272.6,267,272.58,-0.2898,272.58,125035.27,0.460670206,0.791994704,4.39,6.43,6.8,25.1,8.3
38,11/23/2020,000858.SZ,4282239.108,4.11,272.58,277.77,271.5,271.5,1.5309,268.47,156342.14,0.514083473,0.757902075,4.39,6.36,6.14,25.46,8.45
39,11/22/2020,000858.SZ,,,,,,,,,,0.500726677,0.726130037,,,,,
40,11/21/2020,000858.SZ,,,,,,,,,,0.541682883,0.999966223,,,,,
41,11/20/2020,000858.SZ,2984187.157,3.77,268.47,270.5,264.8,266.54,1.4243,264.7,111226.04,0.497240449,0.768576045,4.24,6.38,5.93,25.32,8.32
42,11/19/2020,000858.SZ,3287372.158,0.98,264.7,266.3,260,262.34,0.3716,263.72,124482.46,0.471143021,0.840760799,4.23,6.4,5.91,25.11,8.27
43,11/18/2020,000858.SZ,5134604.862,-5.38,263.72,269.52,259,267.99,-1.9993,269.1,194562.73,0.481012614,0.000205188,4.23,6.36,5.93,24.88,8.25
44,11/17/2020,000858.SZ,4847011.187,-3.9,269.1,274.55,266,272.99,-1.4286,273,179476.72,0.429381418,0.682256728,4.26,6.34,5.94,23.75,8.21
45,11/16/2020,000858.SZ,5269426.372,8,273,273.15,263.51,268,3.0189,265,195777.92,0.499760031,0.66964917,4.24,6.41,5.82,23.16,8.17
46,11/15/2020,000858.SZ,,,,,,,,,,0.407420966,0.660235692,,,,,
47,11/14/2020,000858.SZ,,,,,,,,,,0.397398984,0.603613937,,,,,
48,11/13/2020,000858.SZ,4950551.088,-2.65,265,267.37,258,265,-0.9901,267.65,188430.71,0.465814573,0.576120252,4.16,6.48,5.77,21.47,8.9
49,11/12/2020,000858.SZ,4716978.361,-1.25,267.65,271.49,265,268.9,-0.4649,268.9,176231.58,0.419654932,0.532013495,4.13,6.43,5.68,21.18,8.18
50,11/11/2020,000858.SZ,6218718.17,-3.9,268.9,279,268.35,270.7,-1.4296,272.8,227873.38,0.475896713,0.620648212,4.1,6.6,5.66,2.55,8.16
51,11/10/2020,000858.SZ,6085547.697,2.8,272.8,278.65,267.25,270.74,1.037,270,223080.7,0.482536795,0.610380126,4.12,6.87,5.7,2.54,8.18
52,11/9/2020,000858.SZ,5513207.008,10.7,270,270,260.6,261,4.1265,259.3,206283.88,0.513052043,0.600501953,4.14,7.7,5.64,19.65,8.36
53,11/8/2020,000858.SZ,,,,,,,,,,0.593063733,0.590546329,,,,,
54,11/7/2020,000858.SZ,,,,,,,,,,0.503383461,0.588368395,,,,,
55,11/6/2020,000858.SZ,3901814.024,-0.11,259.3,261.2,255.05,260.05,-0.0424,259.41,151164.83,0.5651825,0.590409752,4.8,7.2,5.61,19.12,8.35
56,11/5/2020,000858.SZ,4898017.531,6.41,259.41,259.85,254.05,255.99,2.5336,253,189689.8,0.55936117,0.600142461,4.13,7,5.58,19.52,8.45
57,11/4/2020,000858.SZ,3267104.849,2.6,253,253,248.3,250.25,1.0383,250.4,129928.37,0.499979006,0.596724836,4.4,6.75,5.44,19.25,8.1
58,11/3/2020,000858.SZ,4112229.156,4.7,250.4,250.4,245.5,248.1,1.9129,245.7,165350.83,0.532393225,0.594448954,4.7,6.94,5.43,19.45,8.8
59,11/2/2020,000858.SZ,3880439.537,1.35,245.7,251.05,244.5,247.07,0.5525,244.35,157337.05,0.483755126,0.593440121,3.94,6.79,5.4,19.48,8.5
60,11/1/2020,000858.SZ,,,,,,,,,,0.554589764,0.59392242,,,,,
61,10/31/2020,000858.SZ,,,,,,,,,,0.572177443,0.594848091,,,,,
62,10/30/2020,000858.SZ,5883433.065,-5.65,244.35,250,243.27,246.95,-2.26,250,239489.51,0.49915016,0.595587814,3.96,7,5.31,18.92,8.8
63,10/29/2020,000858.SZ,8707106.516,10.02,250,253.77,238.49,238.8,4.1753,239.98,349627.48,0.520704819,0.594828706,4.1,7.5,5.12,19,8.22
64,10/28/2020,000858.SZ,4079939.455,6.48,239.98,242,233.42,235,2.7752,233.5,170762.3,0.517883106,0.594512684,4.11,8.7,5.12,19.18,8.19
65,10/27/2020,000858.SZ,3339001.551,0.89,233.5,235.35,230.7,233.01,0.3826,232.61,143026.82,0.489506876,0.594523306,4.15,8.81,5.11,19.95,8.5
66,10/26/2020,000858.SZ,3696971.91,-4.02,232.61,234.59,223,230,-1.6989,236.63,160000.39,0.416554936,0.594703837,4.16,8.94,5.16,19.89,8.19
67,10/25/2020,000858.SZ,,,,,,,,,,0.445003837,0.594834073,,,,,
68,10/24/2020,000858.SZ,,,,,,,,,,0.509102516,0.594831737,,,,,
69,10/23/2020,000858.SZ,3217550.682,-5.11,236.63,242.24,236.3,240.79,-2.1138,241.74,134522.73,0.468865685,0.594705724,4.17,8.72,5.16,19.96,8.55
70,10/22/2020,000858.SZ,3620503.899,-0.03,241.74,242.99,236.68,242,-0.0124,241.77,150416.07,0.48164253,0.594685227,4.2,8.35,5.23,19.96,8.46
71,10/21/2020,000858.SZ,3309649.772,0.79,241.77,243.7,239.69,240.98,0.3278,240.98,137076.91,0.56092561,0.594713984,4.2,8.33,5.18,2.83,8.45
72,10/20/2020,000858.SZ,4313854.388,4.8,240.98,241,235,236,2.0323,236.18,179963.31,0.496766066,0.594745763,4.24,8.65,5.13,21.2,8.56
73,10/19/2020,000858.SZ,2920521.351,-0.7,236.18,241.6,234.6,240,-0.2955,236.88,122900.83,0.533649688,0.594752751,4.23,8.36,5.12,2.77,8.39
74,10/18/2020,000858.SZ,,,,,,,,,,0.656384308,0.594739198,,,,,
75,10/17/2020,000858.SZ,,,,,,,,,,0.496843286,0.594723774,,,,,
76,10/16/2020,000858.SZ,2812810.615,-2.03,236.88,240.82,235.24,238.9,-0.8497,238.91,118357.5,0.431910952,0.594726783,4.28,8.4,5.16,2.21,8.46
77,10/15/2020,000858.SZ,2673550.249,-0.49,238.91,240.5,238.34,239.51,-0.2047,239.4,111760.87,0.535498681,0.594733709,4.25,8.31,5.2,2.6,8.59
