Date,Unnamed: 0,Id,Ts Code,Amount_x,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,Ret,PE,PB,PS,Turnover,CirculatedMarketValue,ChangeRatio,Liquidility,MA_5,MA_7,MA_21,20sd,upper_band,lower_band,RSI,EMA_12,EMA_26,MACD,Signal_Line,W%R,K,D,J,up_move,down_move,plus_dm,minus_dm,TR,plus_di,minus_di,DX,ADX,ADXR,momentum
1/16/2018,0,1080,601398.SH,2477463.823,0.16,6.59,6.59,6.38,6.43,2.49,6.43,3820653.05,0.209039836,0.66879998,7.78,14.98,11.81,13.83,3.802731,8.210891,1.09699,3.281275,0.00142,2.35E+12,0.02488,5.00E-06,,,,,,,,6.59,6.59,0.01037037,0.002074074,,,,,,,0,0,0.21,,,,,,5.59
1/17/2018,1,1079,601398.SH,3985715.09,0.13,6.72,6.99,6.64,6.64,1.97,6.59,5885365.73,0.499138312,0.999990139,7.89,12.9,11.82,13.73,3.729167,8.372866,1.11863,3.346005,0.00218,2.40E+12,0.01973,5.00E-06,,,,,,,,6.61,6.59962963,0.01037037,0.002074074,,,,,0.4,0.26,0.4,0,0.35,,,,,,5.72
1/18/2018,2,1078,601398.SH,4082204.721,0.41,7.13,7.15,6.75,6.75,6.1,6.72,5869909.42,0.630762191,0.999999983,7.88,11.96,12.27,13.78,3.514727,8.883711,1.18688,3.550151,0.00218,2.54E+12,0.06101,5.00E-06,,,,,,,,6.69,6.638916324,0.051083676,0.011875995,,,,,0.16,0.11,0.16,0,0.4,,,,,,6.13
1/19/2018,3,1077,601398.SH,3090202.754,-0.01,7.12,7.2,6.98,7.14,-0.14,7.13,4366550.41,0.540764156,0.586952125,7.98,11.29,12.14,14.15,3.519663,8.871251,1.185215,3.545172,0.00162,2.54E+12,-0.0014,5.00E-06,,,,,,,,6.756153846,6.674552152,0.081601695,0.025821135,,,,,0.05,0.23,0,0.23,0.22,,,,,,6.12
1/20/2018,4,1076,601398.SH,3721814.831,0.23,7.15,7.25,6.88,6.895,3.4,6.92,5280565.41,0.468592244,0.059444377,8.19,13.17,12.19,14.24,3.504923,8.90863,1.1902095,3.560109,0.00196,2.55E+12,0.034015,5.00E-06,6.942,,,,,,,6.816745562,6.709770511,0.106975051,0.042051918,,,,,0.05,0.1,0,0.1,0.37,,,,,,6.15
1/21/2018,5,1075,601398.SH,3770666.024,0.155,7.305,7.365,7.045,7.145,2.16,7.15,5198550.725,0.661107658,0.385535539,8.04,12.97,12.245,14.16,3.4327285,9.101754,1.216011,3.6372865,0.00193,2.60E+12,0.021615,5.00E-06,7.085,,,,,,,6.891861629,6.753861584,0.138000045,0.061241543,,,,,0.115,0.165,0,0.165,0.32,,,,,,6.305
1/22/2018,6,1074,601398.SH,3361424.941,0.05,7.17,7.35,7.01,7.04,0.7,7.12,4691221.4,0.43612381,0.729597774,8.5,14.38,12.11,14.7,3.495119,8.933549,1.193539,3.570067,0.00174,2.56E+12,0.00702,5.00E-06,7.175,7.026428571,,,,,,6.934652148,6.784686652,0.149965496,0.078986334,,,,,-0.015,0.035,0,0.035,0.34,,,,,,6.17
1/23/2018,7,1073,601398.SH,4451129.294,0.32,7.49,7.53,7.11,7.15,4.46,7.17,6030551.04,0.624159516,0.680300077,8.1,14.65,12.35,14.17,3.345794,9.332257,1.246807,3.729401,0.00224,2.67E+12,0.04463,5.00E-06,7.247,7.155,,,,,,7.020090279,6.836932085,0.183158194,0.099820706,,,,,0.18,0.1,0.18,0,0.42,,,,,,6.49
1/24/2018,8,1072,601398.SH,3730795.529,-0.09,7.4,7.66,7.3,7.49,-1.2,7.49,5003507.85,0.526996644,0.725971063,8.43,13.59,12.24,14.23,3.386486,9.220121,1.231825,3.684588,0.00186,2.64E+12,-0.01202,5.00E-06,7.303,7.252142857,,,,,,7.078537928,6.87864082,0.199897109,0.119835987,,,,,0.13,0.19,0,0.19,0.36,,,,,,6.4
1/25/2018,9,1071,601398.SH,2825420.229,-0.05,7.35,7.42,7.13,7.33,-0.68,7.4,3875393.65,0.488026036,0.940863921,8.18,11.88,12.2,15.34,3.409524,9.157823,1.223502,3.659693,0.00144,2.62E+12,-0.00676,5.00E-06,7.343,7.283571429,,,,,,7.120301324,6.913556314,0.20674501,0.137217791,,,,,-0.24,0.17,0,0.17,0.29,,,,,,6.35
