Id,Date,Ts Code,Amount,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,r5
0,12/31/2020,601398.SH,1545155.692,0.03,4.99,5.01,4.95,4.95,0.6048,4.96,3100039.9,0.488333829,0.000000459,9.6,113.6,24.63,15.27,31.46
1,12/30/2020,601398.SH,1258737.039,-0.02,4.96,4.98,4.94,4.97,-0.4016,4.98,2540784.89,0.455089038,0.000000459,9.58,112,27.37,14.98,31.26
2,12/29/2020,601398.SH,1262344.538,0.01,4.98,4.98,4.95,4.97,0.2012,4.97,2542023.19,0.429954558,0.000000459,9.6,11.5,24.88,15.24,31.13
3,12/28/2020,601398.SH,1148788.802,0,4.97,4.97,4.93,4.96,0,4.97,2319268.12,0.486468769,0.000000459,9.98,111.98,22.62,14.89,3.96
4,12/27/2020,601398.SH,,,,,,,,,,0.492932201,0.000000459,,,,,
5,12/26/2020,601398.SH,,,,,,,,,,0.450006543,0.000000459,,,,,
6,12/25/2020,601398.SH,760124.137,0.01,4.97,4.97,4.95,4.96,0.2016,4.96,1532838.72,0.502991049,0.000000459,1.17,114.53,2.56,15,31
7,12/24/2020,601398.SH,606453.338,0,4.96,4.98,4.94,4.96,0,4.96,1222627.63,0.569337323,0.99996924,9.73,19.53,2,15.24,31.13
8,12/23/2020,601398.SH,1083275.738,0.02,4.96,4.97,4.93,4.94,0.4049,4.94,2191463.83,0.462632014,0.999803632,9.59,18.85,19.32,15.23,32.89
9,12/22/2020,601398.SH,1813673.04,-0.06,4.94,5,4.92,4.99,-1.2,5,3657493.94,0.521474415,0.999965706,9.8,19.56,21.36,14.82,32.84
10,12/21/2020,601398.SH,1029138.053,0,5,5.02,4.98,5.01,0,5,2058288.22,0.43378981,0.499956659,9.47,11.1,23.73,14.72,33.31
11,12/20/2020,601398.SH,,,,,,,,,,0.594258442,0.583282693,,,,,
12,12/19/2020,601398.SH,,,,,,,,,,0.546910411,0.680496398,,,,,
13,12/18/2020,601398.SH,1098952.028,-0.03,5,5.03,4.98,5.01,-0.5964,5.03,2197721.7,0.464999869,0.793912388,9.48,113.9,21.57,14.61,32.87
14,12/17/2020,601398.SH,1653433.805,0.03,5.03,5.04,4.96,5,0.6,5,3311278.67,0.488607193,0.759569579,9.41,112.18,22.2,13.28,33.5
15,12/16/2020,601398.SH,1333083.487,-0.01,5,5.05,4.99,5.01,-0.1996,5.01,2660674.96,0.439676766,0.719530571,9.14,111.25,23.75,13.35,32.62
16,12/15/2020,601398.SH,1703696.313,-0.04,5.01,5.05,4.98,5.05,-0.7921,5.05,3407518.2,0.422759411,0.672791381,9.22,113,24.72,13.67,34.15
17,12/14/2020,601398.SH,1375565.026,-0.03,5.05,5.09,5.03,5.07,-0.5906,5.08,2721059.52,0.38919731,0.701597168,9.11,113.39,23.4,13.42,34.48
18,12/13/2020,601398.SH,,,,,,,,,,0.441717705,0.721316248,,,,,
19,12/12/2020,601398.SH,,,,,,,,,,0.589396567,0.728119556,,,,,
20,12/11/2020,601398.SH,1408322.766,0.02,5.08,5.08,5.02,5.06,0.3953,5.06,2792732.63,0.431490455,0.050526368,9.5,19.8,21.27,13.29,34.99
21,12/10/2020,601398.SH,1313829.152,-0.04,5.06,5.11,5.04,5.1,-0.7843,5.1,2594726.52,0.469992523,0.598980215,9.28,13.53,19.34,13.63,36.13
22,12/9/2020,601398.SH,1248006.372,-0.02,5.1,5.16,5.09,5.14,-0.3906,5.12,2437226.31,0.458777165,0.679390677,9.36,1.33,17.58,13.7,36.19
23,12/8/2020,601398.SH,1368985.714,-0.07,5.12,5.22,5.11,5.19,-1.3487,5.19,2661064.33,0.438263462,1.47E-07,9.75,99.84,15.98,14.13,37.3
24,12/7/2020,601398.SH,1438818.983,-0.12,5.19,5.33,5.17,5.29,-2.2599,5.31,2754023.06,0.473574808,0.038345346,9.78,1.16,14.53,14.4,37.52
25,12/6/2020,601398.SH,,,,,,,,,,0.509998481,0.349227052,,,,,
26,12/5/2020,601398.SH,,,,,,,,,,0.652427007,0.286078301,,,,,
27,12/4/2020,601398.SH,1743943.25,-0.07,5.31,5.38,5.22,5.38,-1.3011,5.38,3302805.02,0.440412865,0.525167365,9.72,11.15,13.21,14.67,38.15
28,12/3/2020,601398.SH,1502313.598,-0.07,5.38,5.48,5.34,5.45,-1.2844,5.45,2788019.3,0.483471663,0.014215446,9.74,98.56,13.13,14.64,38.4
29,12/2/2020,601398.SH,1915490.212,-0.02,5.45,5.53,5.35,5.44,-0.3656,5.47,3518096.33,0.504067649,0.202172276,9.82,98.49,13.9,14.59,38.75
30,12/1/2020,601398.SH,2868661.473,0.15,5.47,5.5,5.28,5.31,2.8195,5.32,5303736.31,0.511590248,0.23929561,1.3,97.49,14.6,14.63,38.29
31,11/30/2020,601398.SH,6850764.187,-0.07,5.32,5.64,5.31,5.46,-1.2987,5.39,12456636.54,0.480277177,0.887778407,9.98,95.27,13.95,14.59,38.2
32,11/29/2020,601398.SH,,,,,,,,,,0.568275166,0.359117901,,,,,
33,11/28/2020,601398.SH,,,,,,,,,,0.548828439,0.371291167,,,,,
34,11/27/2020,601398.SH,4879296.144,0.3,5.39,5.39,5.11,5.11,5.8939,5.09,9297495.13,0.505342232,0.195880481,1.15,96.35,13.43,14.66,38.27
35,11/26/2020,601398.SH,1002567.142,0.05,5.09,5.1,5.03,5.04,0.9921,5.04,1973922.78,0.483239131,0.37592264,1.35,95.9,13.85,14.41,38.63
36,11/25/2020,601398.SH,1017147.724,-0.01,5.04,5.11,5.04,5.08,-0.198,5.05,2002929.65,0.463964274,0.962022209,9.75,96.2,13.32,14.17,38.82
37,11/24/2020,601398.SH,959879.197,-0.02,5.05,5.09,5.05,5.07,-0.3945,5.07,1893180.43,0.519083188,0.525335468,9.63,97.58,13.72,14.43,39.81
38,11/23/2020,601398.SH,1428218.316,0.04,5.07,5.08,5.01,5.01,0.7952,5.03,2825800.46,0.508255425,0.464928311,9.46,98.1,14.2,14.62,39.72
39,11/22/2020,601398.SH,,,,,,,,,,0.499677975,0.482563379,,,,,
40,11/21/2020,601398.SH,,,,,,,,,,0.606603923,0.996989326,,,,,
41,11/20/2020,601398.SH,636625.58,-0.01,5.03,5.06,5.01,5.05,-0.1984,5.04,1265720.54,0.530426735,0.634626889,9.36,97.85,15.33,14.43,39.91
42,11/19/2020,601398.SH,778151.977,0.01,5.04,5.05,5.02,5.02,0.1988,5.03,1545693.94,0.469666394,0.677744264,9.32,96.3,17.3,14.49,4.57
43,11/18/2020,601398.SH,972693.582,0.03,5.03,5.05,4.98,5,0.6,5,1935618.19,0.53484933,0.630364606,9.41,96.6,15.48,14.27,39.83
44,11/17/2020,601398.SH,608551.314,0.02,5,5,4.97,4.98,0.4016,4.98,1220332.8,0.50481423,0.647869463,9.38,96.36,16.23,14.24,39.88
45,11/16/2020,601398.SH,637821.655,0.02,4.98,4.99,4.96,4.97,0.4032,4.96,1282415.96,0.432334714,0.678359654,9.43,97.5,16.82,14.46,4.59
46,11/15/2020,601398.SH,,,,,,,,,,0.457108914,0.710992367,,,,,
47,11/14/2020,601398.SH,,,,,,,,,,0.624494199,0.663326207,,,,,
48,11/13/2020,601398.SH,955481.766,-0.05,4.96,5.01,4.95,5.01,-0.998,5.01,1922654.08,0.507956119,0.668109427,9.29,97.41,15.29,14.6,4.5
49,11/12/2020,601398.SH,702982.495,-0.06,5.01,5.06,5.01,5.06,-1.1834,5.07,1398752.2,0.442180499,0.666503621,9.25,98.78,13.9,14.73,4.4
50,11/11/2020,601398.SH,1564938.518,0.05,5.07,5.08,5,5.01,0.996,5.02,3096115.02,0.475927659,0.67252679,9.23,99.98,12.64,14.56,4.75
51,11/10/2020,601398.SH,1300974.713,0.04,5.02,5.05,5,5.01,0.8032,4.98,2591683.87,0.517050625,0.676636344,9.29,11.19,12.75,14.39,41.2
52,11/9/2020,601398.SH,1122494.987,0.02,4.98,4.99,4.96,4.97,0.4032,4.96,2256021.24,0.445795554,0.676349126,9.46,12.91,13.16,14.33,41.8
53,11/8/2020,601398.SH,,,,,,,,,,0.269679758,0.670575252,,,,,
54,11/7/2020,601398.SH,,,,,,,,,,0.537291205,0.671783427,,,,,
55,11/6/2020,601398.SH,822468.06,0.01,4.96,4.98,4.93,4.95,0.202,4.95,1659587.43,0.405261015,0.67239576,9.2,1.69,11.96,13.95,39.98
56,11/5/2020,601398.SH,811620.262,0,4.95,4.99,4.94,4.97,0,4.95,1637349.75,0.484035581,0.673377783,9.25,12.21,11.96,14.35,4.24
57,11/4/2020,601398.SH,726041.151,0,4.95,4.98,4.93,4.97,0,4.95,1464984.96,0.540698762,0.673519615,9.14,1,1.87,14.28,39.75
58,11/3/2020,601398.SH,671170.596,0.01,4.95,4.98,4.94,4.95,0.2024,4.94,1353574.06,0.49192749,0.673000161,9.18,11.7,9.88,14.45,4.7
59,11/2/2020,601398.SH,775279.272,0.02,4.94,4.95,4.91,4.92,0.4065,4.92,1572267.09,0.486375989,0.672442,9.2,1.58,9.66,14.26,39.13
60,11/1/2020,601398.SH,,,,,,,,,,0.486375989,0.672753124,,,,,
61,10/31/2020,601398.SH,,,,,,,,,,0.477481053,0.67291474,,,,,
62,10/30/2020,601398.SH,1040631.799,-0.04,4.92,4.98,4.91,4.96,-0.8065,4.96,2107643.27,0.4238261,0.673001237,9.13,12.96,9.8,15.83,4.3
63,10/29/2020,601398.SH,831255.143,-0.04,4.96,4.99,4.95,4.98,-0.8,5,1674461.5,0.442042881,0.67293848,9.39,14.52,8.78,16.49,41.69
64,10/28/2020,601398.SH,910381.917,-0.03,5,5.03,4.98,5.02,-0.5964,5.03,1820638.73,0.483156769,0.672841624,9.37,12.5,8.92,16.15,41.29
65,10/27/2020,601398.SH,801971.542,0.01,5.03,5.04,5,5.01,0.1992,5.02,1597958.96,0.463422772,0.672815201,9.26,1.9,8.99,16.26,41.47
66,10/26/2020,601398.SH,905802.521,-0.04,5.02,5.07,5.01,5.06,-0.7905,5.06,1797835.63,0.494224995,0.672877401,9.23,99.5,9.8,15.98,41.6
67,10/25/2020,601398.SH,,,,,,,,,,0.463771081,0.672898114,,,,,
68,10/24/2020,601398.SH,,,,,,,,,,0.512740814,0.672895343,,,,,
69,10/23/2020,601398.SH,1193368.824,0,5.06,5.08,5.03,5.05,0,5.06,2356155.63,0.438277106,0.672877694,9.48,11.82,9.28,15.84,42.65
70,10/22/2020,601398.SH,963485.741,0.01,5.06,5.07,5.02,5.05,0.198,5.05,1910634.54,0.524179875,0.672867563,9.64,12.2,9.41,15.79,44.69
71,10/21/2020,601398.SH,1637539.375,0.07,5.05,5.07,4.95,4.98,1.4056,4.98,3258761.82,0.545315085,0.672871886,9.55,12.99,9.72,15.99,43.9
72,10/20/2020,601398.SH,1197285.748,-0.04,4.98,5.01,4.95,5.01,-0.7968,5.02,2406896.29,0.446925135,0.672881333,9.63,14.12,9.44,16.39,43.7
73,10/19/2020,601398.SH,1741740.68,0.03,5.02,5.08,4.98,4.99,0.6012,4.99,3458162.76,0.475815537,0.672881989,9.64,13.4,9.3,16.28,43.63
74,10/18/2020,601398.SH,,,,,,,,,,0.781030488,0.672879301,,,,,
75,10/17/2020,601398.SH,,,,,,,,,,0.492806062,0.672876627,,,,,
76,10/16/2020,601398.SH,2496968.034,0.06,4.99,5.02,4.92,4.92,1.217,4.93,5009557.53,0.490636428,0.67287645,9.8,15.8,9.44,16.52,43.35
77,10/15/2020,601398.SH,992203.997,0.01,4.93,4.95,4.9,4.92,0.2033,4.92,2011509.32,0.488852893,0.672877931,9.74,15.18,9.23,16.11,43.8
78,10/14/2020,601398.SH,692484.41,0,4.92,4.93,4.91,4.92,0,4.92,1408489.26,0.54065278,0.672878939,9.44,16.8,9.3,16.36,43.72
79,10/13/2020,601398.SH,825268.306,-0.04,4.92,4.96,4.91,4.95,-0.8065,4.96,1674336.69,0.428031009,0.672878539,9.59,17.7,9.49,16.65,44.22
80,10/12/2020,601398.SH,1248536.339,0.05,4.96,4.97,4.91,4.92,1.0183,4.91,2525438.47,0.46632201,0.672877965,9.76,17.61,9.5,16.57,43.81
81,10/11/2020,601398.SH,,,,,,,,,,0.491736733,0.672877742,,,,,
82,10/10/2020,601398.SH,,,,,,,,,,0.540375068,0.672877928,,,,,
83,10/9/2020,601398.SH,635218.844,-0.01,4.91,4.94,4.91,4.94,-0.2033,4.92,1289984.22,0.445581021,0.672878174,9.33,14.17,9.3,16.21,42.4
84,10/8/2020,601398.SH,,,,,,,,,,0.50917381,0.672878214,,,,,
85,10/7/2020,601398.SH,,,,,,,,,,0.556995715,0.672878094,,,,,
86,10/6/2020,601398.SH,,,,,,,,,,0.572981707,0.672878019,,,,,
87,10/5/2020,601398.SH,,,,,,,,,,0.669452262,0.672878028,,,,,
88,10/4/2020,601398.SH,,,,,,,,,,0.669452262,0.672878076,,,,,
89,10/3/2020,601398.SH,,,,,,,,,,0.669452262,0.672878101,,,,,
90,10/2/2020,601398.SH,,,,,,,,,,0.280140269,0.672878089,,,,,
91,10/1/2020,601398.SH,,,,,,,,,,0.280140269,0.672878068,,,,,
92,9/30/2020,601398.SH,745278.042,0.01,4.92,4.95,4.91,4.92,0.2037,4.91,1512342.71,0.368349396,0.762925638,8.97,11.96,8.78,15.87,41.42
93,9/29/2020,601398.SH,570003.173,-0.03,4.91,4.95,4.91,4.94,-0.6073,4.94,1156134.49,0.528554338,0.029390446,9.9,11.96,9.1,15.71,41.66
94,9/28/2020,601398.SH,803113.059,0.05,4.94,4.94,4.88,4.9,1.0225,4.89,1634647.01,0.400382137,0.018970443,9.6,1.8,8.67,15.57,41.25
95,9/27/2020,601398.SH,,,,,,,,,,0.464948643,0.008621254,,,,,
96,9/26/2020,601398.SH,,,,,,,,,,0.472447688,0.36094399,,,,,
97,9/25/2020,601398.SH,528791.477,-0.01,4.89,4.91,4.88,4.9,-0.2041,4.9,1080017.5,0.557420814,0.308954973,9.1,12.8,9.39,15.82,42.59
98,9/24/2020,601398.SH,619885.384,-0.02,4.9,4.92,4.88,4.91,-0.4065,4.92,1265965.12,0.529860862,0.334772117,9.4,12.8,1.9,15.59,43.3
99,9/23/2020,601398.SH,495260.688,-0.01,4.92,4.94,4.91,4.93,-0.2028,4.93,1005836.16,0.482686929,0.176942204,9.28,16.25,1.5,16.26,44.24
100,9/22/2020,601398.SH,542057.884,-0.03,4.93,4.96,4.92,4.95,-0.6048,4.96,1097050.2,0.620365813,0.558390705,9.28,15.68,9.97,16.36,43.6
101,9/21/2020,601398.SH,604081.552,-0.02,4.96,4.99,4.94,4.97,-0.4016,4.98,1217665.22,0.520634496,0.29143754,9.41,16.75,9.86,16.47,44.65
102,9/20/2020,601398.SH,,,,,,,,,,0.507404509,1,,,,,
103,9/19/2020,601398.SH,,,,,,,,,,0.58471054,0.445082923,,,,,
104,9/18/2020,601398.SH,1293690.927,0.04,4.98,4.98,4.93,4.95,0.8097,4.94,2607344.28,0.244031836,0.666941236,9.58,18.65,9.88,16.16,44.86
105,9/17/2020,601398.SH,596571.628,0,4.94,4.95,4.92,4.94,0,4.94,1208863.68,0.487549858,0.001090609,9.11,15.99,9.81,15.93,45.1
106,9/16/2020,601398.SH,530226.172,0.02,4.94,4.94,4.9,4.92,0.4065,4.92,1076156.27,0.437211766,0.493823836,9.1,19.22,1.2,15.95,42.93
107,9/15/2020,601398.SH,407040.417,-0.01,4.92,4.93,4.91,4.92,-0.2028,4.93,828081.03,0.445395114,9.52E-07,9.12,11.35,1.28,16.24,43.28
108,9/14/2020,601398.SH,505351.326,0,4.93,4.94,4.91,4.93,0,4.93,1027571.21,0.460308057,0.434489926,9.12,111,9.82,15.82,43.16
109,9/13/2020,601398.SH,,,,,,,,,,0.413363788,0.340238247,,,,,
110,9/12/2020,601398.SH,,,,,,,,,,0.638468672,0.322764134,,,,,
111,9/11/2020,601398.SH,735936.771,0.02,4.93,4.95,4.9,4.9,0.4073,4.91,1494302.13,0.443171949,0.983110132,9.24,114,9.79,15.7,42.66
112,9/10/2020,601398.SH,710761.036,-0.03,4.91,4.95,4.9,4.94,-0.6073,4.94,1444378.36,0.473747479,0.0000351,9.12,17.33,9.64,15.58,41.8
113,9/9/2020,601398.SH,796614.938,-0.01,4.94,4.95,4.92,4.93,-0.202,4.95,1613340.69,0.460966445,0.346773082,9.36,15.96,1.1,16.12,43.8
114,9/8/2020,601398.SH,984987.767,0.05,4.95,4.96,4.89,4.9,1.0204,4.9,1995480.82,0.41417879,0.571919992,9.67,19.35,1.6,16.6,44.85
115,9/7/2020,601398.SH,748340.493,0,4.9,4.92,4.88,4.89,0,4.9,1525627.38,0.507455261,0.427473448,9.58,18,1.61,16.42,45
116,9/6/2020,601398.SH,,,,,,,,,,0.476626934,0.993084954,,,,,
117,9/5/2020,601398.SH,,,,,,,,,,0.519047973,0.553732785,,,,,
118,9/4/2020,601398.SH,689451.433,-0.01,4.9,4.91,4.88,4.89,-0.2037,4.91,1409393.98,0.43729336,0.354300826,1.9,113,1.77,17.7,46.2
119,9/3/2020,601398.SH,903223.968,-0.01,4.91,4.94,4.89,4.92,-0.2033,4.92,1839671.79,0.457402546,0.999877154,1.14,12,1.17,17.15,46.84
120,9/2/2020,601398.SH,1345657.21,-0.04,4.92,4.96,4.92,4.96,-0.8065,4.96,2729008.52,0.414324041,0.036718863,1.18,125.4,1.28,17.62,47.2
121,9/1/2020,601398.SH,776360.132,0,4.96,4.97,4.94,4.96,0,4.96,1566483.75,0.384226624,0.560864672,1.39,119.56,1.28,17.9,47.42
122,8/31/2020,601398.SH,1312043.186,-0.04,4.96,5.01,4.96,4.99,-0.8,5,2631484.38,0.450886812,0.339732971,1.54,115.71,1.1,17.75,47.31
123,8/30/2020,601398.SH,,,,,,,,,,0.43921349,0.03068031,,,,,
124,8/29/2020,601398.SH,,,,,,,,,,0.453154099,0.661656081,,,,,
125,8/28/2020,601398.SH,1048187.711,0.03,5,5.01,4.96,4.97,0.6036,4.97,2103678.49,0.509637176,0.365550717,1.52,114.6,1.45,17.29,47.31
126,8/27/2020,601398.SH,703831.745,-0.01,4.97,4.98,4.96,4.98,-0.2008,4.98,1416656.58,0.429237147,0.999924968,1.45,16.88,1.6,16.92,47.18
127,8/26/2020,601398.SH,754742.689,-0.02,4.98,5,4.97,5,-0.4,5,1514622.46,0.416196574,0.493068286,1.79,14.76,1.54,16.91,47.5
128,8/25/2020,601398.SH,773465.195,0.01,5,5.01,4.98,5,0.2004,4.99,1548987.45,0.467116853,0.0000241,11.14,13.23,1.21,18.8,48.26
129,8/24/2020,601398.SH,600551.218,-0.02,4.99,5.02,4.99,5.01,-0.3992,5.01,1200786.07,0.443306732,0.063761646,11.23,14.28,1.6,17.98,47.91
130,8/23/2020,601398.SH,,,,,,,,,,0.443402973,0.4306643,,,,,
131,8/22/2020,601398.SH,,,,,,,,,,0.576031581,0.39216567,,,,,
132,8/21/2020,601398.SH,651086.296,0.01,5.01,5.02,4.99,5.01,0.2,5,1301844.83,0.540981418,0.240584001,1.97,13.41,1.15,17.87,47.52
133,8/20/2020,601398.SH,821731.215,-0.03,5,5.03,4.99,5.02,-0.5964,5.03,1642453.23,0.497417571,0.270044667,11.2,11.3,9.62,17.72,46.92
134,8/19/2020,601398.SH,821836.841,-0.02,5.03,5.07,5.03,5.06,-0.396,5.05,1630051.4,0.39462732,0.232874064,11.23,12.97,9.59,18.4,48.22
135,8/18/2020,601398.SH,1199875.631,-0.04,5.05,5.09,5.04,5.09,-0.7859,5.09,2371955.04,0.402868461,0.001976252,11.54,14.63,9.86,18.96,5.51
136,8/17/2020,601398.SH,2783708.791,0.07,5.09,5.11,5.02,5.02,1.3944,5.02,5486933.26,0.409744288,1,11.35,14.54,9.81,19.3,5
137,8/16/2020,601398.SH,,,,,,,,,,0.470210433,0.356274109,,,,,
138,8/15/2020,601398.SH,,,,,,,,,,0.515351694,0.350292182,,,,,
139,8/14/2020,601398.SH,1042149.48,0.04,5.02,5.02,4.97,4.98,0.8032,4.98,2085844.53,0.484280324,0.368576879,1.86,13.86,9.66,19.26,49.75
140,8/13/2020,601398.SH,580121.567,-0.01,4.98,5,4.97,4.98,-0.2004,4.99,1163829.32,0.453488059,0.02973788,1.86,13.18,9.66,18.7,5.28
141,8/12/2020,601398.SH,1121910.727,0.01,4.99,4.99,4.96,4.97,0.2008,4.98,2256124.04,0.424394399,0.351142884,1.71,13.27,9.55,18.72,48
142,8/11/2020,601398.SH,1383596.404,-0.01,4.98,5.02,4.97,4.98,-0.2004,4.99,2767245.52,0.456966155,0.409337322,1.59,16.4,9.73,19.6,48.7
143,8/10/2020,601398.SH,1001722.875,0.01,4.99,5,4.96,4.97,0.2008,4.98,2009869.17,0.421666195,0.310893543,1.93,16.98,9.98,19.7,48.95
144,8/9/2020,601398.SH,,,,,,,,,,0.485095791,0.303330115,,,,,
145,8/8/2020,601398.SH,,,,,,,,,,0.507210519,0.295503104,,,,,
146,8/7/2020,601398.SH,957716.708,-0.04,4.98,5.01,4.97,5.01,-0.7968,5.02,1921432.81,0.423520258,0.747507777,1.8,18.85,9.89,2.6,48.94
147,8/6/2020,601398.SH,1049299.499,0.02,5.02,5.03,4.98,5.01,0.4,5,2099270.52,0.491814848,0.402952457,11.34,111.49,1.17,19.24,5.8
148,8/5/2020,601398.SH,1027991.586,-0.05,5,5.03,4.99,5.02,-0.9901,5.05,2052320.06,0.425585194,0.411587386,11.22,113.4,1.45,19.15,5.26
149,8/4/2020,601398.SH,2015491.478,0.07,5.05,5.07,4.97,4.99,1.4056,4.98,4012204.69,0.467469842,0.411962397,11.64,114.44,1.37,18.4,5.7
150,8/3/2020,601398.SH,1217707.58,0.02,4.98,5,4.96,4.98,0.4032,4.96,2446867.81,0.450494379,0.428807206,11.25,116.15,1.61,19,51.21
151,8/2/2020,601398.SH,,,,,,,,,,0.365380535,0.449720055,,,,,
152,8/1/2020,601398.SH,,,,,,,,,,0.336587927,0.47542288,,,,,
153,7/31/2020,601398.SH,1268345.18,-0.02,4.96,5.01,4.95,4.98,-0.4016,4.98,2549672.87,0.447319638,0.430075397,1.23,19.58,1.4,17.68,49.58
154,7/30/2020,601398.SH,768439.793,-0.04,4.98,5.02,4.98,5.02,-0.7968,5.02,1537828.61,0.440623053,0.434595887,9.79,19.3,1.2,17.99,49.32
155,7/29/2020,601398.SH,1375574.099,0.04,5.02,5.02,4.93,4.97,0.8032,4.98,2758566.64,0.42735684,0.438430637,9.92,19.69,9.81,17.54,49.23
156,7/28/2020,601398.SH,870345.478,0.01,4.98,5,4.96,4.99,0.2012,4.97,1748445.91,0.421826978,0.869117053,9.73,18.65,9.72,17.23,47.45
157,7/27/2020,601398.SH,1082016.314,-0.01,4.97,5,4.95,4.98,-0.2008,4.98,2176344.9,0.483425109,0.516226985,9.72,16.35,9.55,17.3,46.96
158,7/26/2020,601398.SH,,,,,,,,,,0.475763569,0.000374602,,,,,
159,7/25/2020,601398.SH,,,,,,,,,,0.352369713,0.000139414,,,,,
160,7/24/2020,601398.SH,1817042.791,-0.05,4.98,5.03,4.96,5.03,-0.994,5.03,3637610.06,0.466745979,0.376480763,9.91,15.75,9.6,17.7,48.7
161,7/23/2020,601398.SH,1890158.446,-0.06,5.03,5.08,5.02,5.07,-1.1788,5.09,3751365.63,0.425876883,0.016668812,1.52,11,9.82,18.78,51.8
162,7/22/2020,601398.SH,1493366.737,-0.01,5.09,5.14,5.07,5.1,-0.1961,5.1,2926611.07,0.447073823,0.0000997,1.44,19.2,1.6,18.5,51.88
163,7/21/2020,601398.SH,1154453.551,-0.03,5.1,5.14,5.09,5.13,-0.5848,5.13,2262537.59,0.412810519,0.151665046,1.5,19.88,9.67,17.79,52.38
164,7/20/2020,601398.SH,1974500.422,0.07,5.13,5.14,5.05,5.07,1.3834,5.06,3865923.63,0.423760868,0.090904723,1.82,17.36,9.5,18.1,51.88
165,7/19/2020,601398.SH,,,,,,,,,,0.442425214,7.13E-13,,,,,
166,7/18/2020,601398.SH,,,,,,,,,,0.411157766,0.105969841,,,,,
167,7/17/2020,601398.SH,1504161.297,0,5.06,5.08,5.03,5.06,0,5.06,2975297.98,0.371399381,0.060884687,9.93,16,9.27,16.45,51.37
168,7/16/2020,601398.SH,2505984.42,-0.02,5.06,5.13,5.05,5.08,-0.3937,5.08,4922858.09,0.444882614,0.068253999,9.91,14.17,9.5,16.24,52.63
169,7/15/2020,601398.SH,2355023.798,-0.06,5.08,5.18,5.07,5.16,-1.1673,5.14,4611494.14,0.42917003,0.665559704,1.42,111.6,1.25,17.52,58.34
170,7/14/2020,601398.SH,2397441.231,-0.07,5.14,5.2,5.13,5.19,-1.3436,5.21,4639220.5,0.431277709,0.165262159,11.38,112.47,1.55,18.68,61.3
171,7/13/2020,601398.SH,3167529.369,-0.01,5.21,5.25,5.16,5.2,-0.1916,5.22,6089284.1,0.419583797,0.177655065,1.81,19.23,11,18.57,62.5
172,7/12/2020,601398.SH,,,,,,,,,,0.439476901,0.207264242,,,,,
173,7/11/2020,601398.SH,,,,,,,,,,0.418377716,0.224146643,,,,,
