Id,Date,Ts Code,Amount,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,r5
0,12/31/2020,600036.SH,3909432.878,0.9,43.95,44.35,42.85,43.05,2.0906,43.05,891199.21,0.481080603,1,5.98,7.59,14.44,5.59,172.9
1,12/30/2020,600036.SH,3963394.42,0.22,43.05,43.05,41.9,42.87,0.5137,42.83,933496.43,0.388054688,0.999999999,5.96,7.6,14.25,5.59,156.28
2,12/29/2020,600036.SH,3118082.06,-0.21,42.83,43.29,42.65,43.26,-0.4879,43.04,727147.56,0.521519408,1,5.84,7.68,14.28,5.5,162.25
3,12/28/2020,600036.SH,3600599.046,0.32,43.04,43.32,42.23,42.75,0.7491,42.72,841409.01,0.471613979,1,5.73,7.79,13.98,5.4,158.21
4,12/27/2020,600036.SH,,,,,,,,,,0.563395898,1,,,,,
5,12/26/2020,600036.SH,,,,,,,,,,,1,,,,,
6,12/25/2020,600036.SH,2023487.304,0.15,42.72,42.9,41.98,42.55,0.3524,42.57,476731.97,0.50507585,1,5.81,7.75,14.54,5.56,163.5
7,12/24/2020,600036.SH,2055723.701,0.25,42.57,43.1,42.32,42.35,0.5907,42.32,482110.14,0.515320152,1,5.78,7.7,14.43,5.57,163.99
8,12/23/2020,600036.SH,3004166.815,0.41,42.32,42.41,41.71,41.71,0.9783,41.91,711819.93,0.467945054,1.10E-05,5.91,8.5,15,5.73,167.91
9,12/22/2020,600036.SH,3320101.849,-0.98,41.91,43,41.87,42.99,-2.2849,42.89,784686.07,0.429646821,0.999931412,5.85,8,14.9,5.79,171.22
10,12/21/2020,600036.SH,2674269.716,-0.21,42.89,43.15,42.31,43.04,-0.4872,43.1,623850.9,0.527403799,0.833323735,6.1,8.3,15.53,5.9,174.72
11,12/20/2020,600036.SH,,,,,,,,,,0.501042562,0.805544358,,,,,
12,12/19/2020,600036.SH,,,,,,,,,,,0.773135084,,,,,
13,12/18/2020,600036.SH,3296589.099,-0.95,43.1,44.39,42.8,44.09,-2.1566,44.05,760599.93,0.422842769,0.735324265,5.93,8.8,15.15,5.93,167.94
14,12/17/2020,600036.SH,2199570.321,-0.01,44.05,44.17,43.35,43.9,-0.0227,44.06,502329.03,0.545936361,0.99970854,5.94,8.22,15.26,5.81,169
15,12/16/2020,600036.SH,1628021.247,-0.29,44.06,44.85,43.88,44.79,-0.6539,44.35,367902,0.45899057,0.857827899,5.87,8.27,15.18,5.79,166.88
16,12/15/2020,600036.SH,1936658.509,-0.02,44.35,44.94,43.44,44.45,-0.0451,44.37,438792.26,0.544586804,0.83414398,5.92,8.2,15.53,5.94,179.4
17,12/14/2020,600036.SH,2686115.499,1.69,44.37,44.66,43.32,43.32,3.9597,42.68,607427.01,0.557143204,0.987545023,5.9,8.2,15.64,5.98,178.5
18,12/13/2020,600036.SH,,,,,,,,,,0.531834927,0.864614132,,,,,
19,12/12/2020,600036.SH,,,,,,,,,,0.106783422,0.87986064,,,,,
20,12/11/2020,600036.SH,3347336.214,-1.6,42.68,44.27,42.68,44.25,-3.6134,44.28,771435.25,0.376809362,0.036925617,5.86,8.34,15.5,5.98,16
21,12/10/2020,600036.SH,1630166.599,0.04,44.28,44.63,43.8,44.04,0.0904,44.24,368873.55,0.422149545,0.743486215,5.96,8.39,16.2,6.6,169
22,12/9/2020,600036.SH,1672113.664,-0.02,44.24,44.93,44.22,44.37,-0.0452,44.26,375194.56,0.507951174,0.724429268,6.3,7.99,16.9,6.6,179.26
23,12/8/2020,600036.SH,1671238.316,-0.16,44.26,44.76,44,44.39,-0.3602,44.42,377167.35,0.426683676,0.706143482,6.15,7.83,16.61,6.17,196.46
24,12/7/2020,600036.SH,3138039.091,-1.36,44.42,45.75,44.1,45.7,-2.9707,45.78,704825.24,0.42080374,0.054291572,6.2,7.8,16.73,6.17,21
25,12/6/2020,600036.SH,,,,,,,,,,0.506920543,0.524189466,,,,,
26,12/5/2020,600036.SH,,,,,,,,,,0.793536481,0.464910937,,,,,
