Date,Unnamed: 0,Id,Ts Code,Amount_x,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,Ret,PE,PB,PCF,PS,Turnover,CirculatedMarketValue,ChangeRatio,Liquidility,MA_5,MA_7,MA_21,20sd,upper_band,lower_band,RSI,EMA_12,EMA_26,MACD,Signal_Line,W%R,K,D,J,up_move,down_move,plus_dm,minus_dm,TR,plus_di,minus_di,DX,ADX,ADXR,momentum
1/16/2018,0,1080,600519.SH,5084966.063,-12.43,772.94,788.61,768,780.48,-1.58,785.37,65428.33,0.461245,0.471937,2.3,14.79,9.82,5.99,1.881,35.856295,10.112157,80.024944,15.93639,0.00521,9.71E+11,-0.01583,4.00E-06,,,,,,,,772.94,772.94,-1.995099715,-0.399019943,,,,,,,0,0,20.61,,,,,,771.94
1/17/2018,1,1079,600519.SH,6835580.477,-25.01,747.93,774,738.51,770,-3.24,772.94,90709.54,0.480117,0.183552,2.11,14.79,86.1,6.2,1.943898,34.696094,9.784958,77.435579,15.420737,0.00722,9.40E+11,-0.03236,4.00E-06,,,,,,,,769.0923077,771.0874074,-1.995099715,-0.399019943,,,,,-14.61,29.49,0,29.49,35.49,,,,,,746.93
1/18/2018,2,1078,600519.SH,4443031.234,2.81,750.74,765,744.09,747.93,0.38,747.93,58978.51,0.493766,0.611433,2.4,14.75,86.4,6.7,1.936623,34.826448,9.82172,77.726507,15.478673,0.0047,9.43E+11,0.00376,3.00E-06,,,,,,,,766.2688757,769.580192,-3.311316304,-0.981479215,,,,,-9,5.58,0,5.58,20.91,,,,,,749.74
1/19/2018,3,1077,600519.SH,3818021.99,-0.56,750.18,758.9,739.02,752.9,-0.07,750.74,50925.56,0.493508,0.731997,2.5,14.84,85.17,6.2,1.938068,34.80047,9.814394,77.668529,15.467127,0.00405,9.42E+11,-0.00075,3.00E-06,,,,,,,,763.7936641,768.1431408,-4.349476694,-1.655078711,,,,,-6.1,5.07,0,5.07,19.88,,,,,,749.18
1/20/2018,4,1076,600519.SH,4786352.944,13.135,762.19,769.5,747.95,749.87,1.755,749.055,63052.63,0.560556,0.997883,2.315,14.87,47.91,6.455,1.9079605,35.357608,9.9715175,78.911962,15.714748,0.00502,9.57E+11,0.017515,3.00E-06,756.796,,,,,,,763.5469465,767.7021674,-4.155220855,-2.15510714,,,,,10.6,8.93,10.6,0,21.55,,,,,,761.19
1/21/2018,5,1075,600519.SH,3827204.84,-0.21,761.98,769.45,753.81,765.355,-0.025,762.19,50237.37,0.568183,0.977632,2.45,15.12,87.44,6.22,1.908513,35.347866,9.96877,78.8902205,15.710418,0.003995,9.57E+11,-0.000285,3.00E-06,754.604,,,,,,,763.3058778,767.2783031,-3.972425301,-2.518570772,,,,,-0.05,5.86,0,5.86,15.64,,,,,,760.98
1/22/2018,6,1074,600519.SH,5129674.653,23.46,773.64,774,751.81,751.81,3.13,750.18,67126.75,0.519698,0.394027,2.23,14.99,9.42,6.21,1.879298,35.888768,10.121315,80.097417,15.950823,0.00534,9.72E+11,0.03127,3.00E-06,759.746,759.9428571,,,,,,764.8957428,767.7495399,-2.853797158,-2.585616049,,,,,4.55,2,4.55,0,22.19,,,,,,772.64
1/23/2018,7,1073,600519.SH,3836387.69,0.14,773.78,780,768.6,777.81,0.02,773.64,49549.18,0.453633,0.473631,2.4,15.4,89.71,6.24,1.878958,35.895262,10.123146,80.111912,15.953709,0.00394,9.72E+11,0.00018,3.00E-06,764.354,760.0628571,,,,,,766.2625516,768.1962407,-1.933689101,-2.455230659,,,,,6,16.79,0,16.79,11.4,,,,,,772.78
1/24/2018,8,1072,600519.SH,3311348.774,-9.32,764.46,776.46,758.6,776.44,-1.2,773.78,43298.81,0.478645,0.548827,2.1,15.1,87.35,6.37,1.901865,35.462912,10.001215,79.146983,15.761551,0.00345,9.60E+11,-0.01204,3.00E-06,767.21,762.4242857,,,,,,765.985236,767.9194821,-1.93424616,-2.35103376,,,,,-3.54,10,0,10,17.86,,,,,,763.46
1/25/2018,9,1071,600519.SH,3821875.04,4.7,769.16,776,751,761,0.61,764.46,50040.72,0.50499,0.99998,2.9,14.97,86,6.39,1.890244,35.680943,10.062704,79.633589,15.858455,0.00398,9.66E+11,0.00615,3.00E-06,768.604,765.0557143,,,,,,766.4736612,768.0113723,-1.537711136,-2.188369235,,,,,-0.46,7.6,0,7.6,25,,,,,,768.16
1/26/2018,10,1070,600519.SH,3389953.777,8.06,777.22,777.4,764,767.24,1.05,769.16,43978.33,0.532892,0.271846,2.7,15.2,86.84,6.35,1.870642,36.054842,10.168151,80.468066,16.024635,0.0035,9.76E+11,0.01048,3.00E-06,771.652,768.9185714,,,,,,768.1269441,768.6934929,-0.566548811,-1.86400515,,,,,1.4,13,0,13,13.4,,,,,,776.22
1/27/2018,11,1069,600519.SH,4729458.506,-18.1,752.74,777.835,743,769.88,-2.325,770.84,62288.115,0.444489,0.452532,11.325,14.86,84.4,6.305,1.9323965,34.9192275,9.847886,77.933574,15.519909,0.004955,9.46E+11,-0.023235,3.00E-06,767.472,767.5685714,,,,,,765.7597219,767.5117527,-1.752030764,-1.841610273,,,,,0.435,21,0,21,34.835,,,,,,751.74
1/28/2018,12,1068,600519.SH,3621329.438,6.91,759.65,763.085,747.01,751.62,0.915,752.74,47944.68,0.508375,0.06861,11.19,15.025,84.12,6.295,1.9149325,35.2397785,9.9382875,78.648988,15.6623785,0.003815,9.54E+11,0.00915,3.00E-06,764.646,767.2357143,,,,,,764.8197647,766.9294006,-2.109635932,-1.895215405,,,,,-14.75,4.01,0,4.01,16.075,,,,,,758.65
1/29/2018,13,1067,600519.SH,5637041.971,-40.9,736.32,779.67,735,778.76,-5.26,777.22,74535.51,0.492188,0.499994,19.75,14.75,82.8,6.22,1.974549,34.157512,9.633068,76.233559,15.181363,0.00593,9.25E+11,-0.05262,3.00E-06,759.018,761.9042857,,,,,,760.4351855,764.6620376,-4.226852107,-2.361542745,-97.5377728,2.462227196,,,16.585,12.01,16.585,0,44.67,9.932396482,37.05674314,57.72471442,,,735.32
1/30/2018,14,1066,600519.SH,3852705.098,5.76,742.08,748.77,730.02,736,0.78,736.32,51911.03,0.478568,1,19.68,14.85,81.4,6.24,1.959223,34.424715,9.708424,76.82991,15.300122,0.00413,9.32E+11,0.00782,3.00E-06,753.602,757.3757143,,,,,38.56698281,757.6113108,762.9892941,-5.377983274,-2.964830851,-75.87034814,24.12965186,,,-30.9,4.98,0,4.98,18.75,9.990555643,38.84149221,59.08197144,,,741.08
1/31/2018,15,1065,600519.SH,4601994.781,22.46,764.54,771.71,739,739,3.03,742.08,60402.41,0.524103,0.503005,18.9,14.47,84.38,6.22,1.901666,35.466623,10.002262,79.155265,15.7632,0.00481,9.60E+11,0.03027,4.00E-06,751.066,757.3871429,,,,,56.27218488,758.677263,763.1041612,-4.426898197,-3.25724432,-30.93237295,69.06762705,31.88650204,143.4298771,22.94,8.98,22.94,0,32.71,17.36430908,29.81865532,26.39585367,,,763.54
2/1/2018,16,1064,600519.SH,3846421.613,-6.81,757.73,767.3,752.92,767,-0.89,764.54,50582.61,0.48194,0.285179,17.1,13.8,82.98,5.99,1.918757,35.150711,9.913169,78.450204,15.622792,0.00403,9.52E+11,-0.00891,2.00E-06,752.064,755.7542857,,,,,52.56212888,758.5315302,762.7060752,-4.174544952,-3.440704447,-44.55782313,55.44217687,49.54648526,67.23356009,-4.41,13.92,0,13.92,14.38,17.73204904,33.15495881,30.30814824,,,756.73
2/2/2018,17,1063,600519.SH,5583742.782,-17.33,740.4,753.23,725,752.22,-2.29,757.73,75420.82,0.44757,0.971817,17.16,13.8,82.28,6.12,1.963668,34.346781,9.686445,76.655974,15.265484,0.006,9.30E+11,-0.02287,3.00E-06,748.214,750.4942857,,,,,46.80767724,755.742064,761.0537733,-5.311709276,-3.814905413,-72,28,50.83660131,-17.67320261,-14.07,27.92,0,27.92,28.23,17.26451735,39.49603713,39.1671998,,,739.4
2/3/2018,18,1062,600519.SH,5475258.615,-14.49,737.98,748.63,729.26,747.11,-1.94,752.47,74789.23,0.544481,0.203101,16.74,13.745,80.425,6.345,1.9715195,34.2345185,9.654785,76.4054235,15.215589,0.005955,9.27E+11,-0.019425,3.00E-06,748.546,748.3857143,,,,,41.5697472,753.0094388,759.3446049,-6.33516612,-4.318957554,-76.4,23.6,35.68072562,-0.561451247,-4.6,4.26,0,4.26,19.37,14.01386283,41.12428858,49.16818038,,,736.98
2/4/2018,19,1061,600519.SH,5927315.679,-13.35,724.63,737.915,714,727.61,-1.795,737.98,81794.765,0.515978,0.24192,15.95,13.23,79.36,5.995,2.007354,33.6152185,9.4801305,75.0232555,14.94034,0.00651,9.10E+11,-0.01796,3.00E-06,745.056,743.3828571,,14.58756698,,,38.0846041,748.6433713,756.7731527,-8.129781412,-5.081122325,-83.89393939,16.10606061,22.56868687,3.180808081,-10.715,15.26,0,15.26,23.915,13.65459981,42.98217079,51.78185597,,,723.63
