Id,Date,Ts Code,Amount,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,r5
1080,1/16/2018,600519.SH,5084966.063,-12.43,772.94,788.61,768,780.48,-1.58,785.37,65428.33,0.461245,0.471937,2.3,9.82,14.79,5.99,291.85
1079,1/17/2018,600519.SH,6835580.477,-25.01,747.93,774,738.51,770,-3.24,772.94,90709.54,0.480117,0.183552,2.11,86.1,14.79,6.2,286.88
1078,1/18/2018,600519.SH,4443031.234,2.81,750.74,765,744.09,747.93,0.38,747.93,58978.51,0.493766,0.611433,2.4,86.4,14.75,6.7,281
1077,1/19/2018,600519.SH,3818021.99,-0.56,750.18,758.9,739.02,752.9,-0.07,750.74,50925.56,0.493508,0.731997,2.5,85.17,14.84,6.2,285.95
1076,1/20/2018,600519.SH,,,,,,,,,,0.560556,0.997883,,,,,
1075,1/21/2018,600519.SH,,,,,,,,,,0.568183,0.977632,,,,,
1074,1/22/2018,600519.SH,5129674.653,23.46,773.64,774,751.81,751.81,3.13,750.18,67126.75,0.519698,0.394027,2.23,9.42,14.99,6.21,275.92
1073,1/23/2018,600519.SH,3836387.69,0.14,773.78,780,768.6,777.81,0.02,773.64,49549.18,0.453633,0.473631,2.4,89.71,15.4,6.24,275.32
1072,1/24/2018,600519.SH,3311348.774,-9.32,764.46,776.46,758.6,776.44,-1.2,773.78,43298.81,0.478645,0.548827,2.1,87.35,15.1,6.37,278.29
1071,1/25/2018,600519.SH,3821875.04,4.7,769.16,776,751,761,0.61,764.46,50040.72,0.50499,0.99998,2.9,86,14.97,6.39,282.38
1070,1/26/2018,600519.SH,3389953.777,8.06,777.22,777.4,764,767.24,1.05,769.16,43978.33,0.532892,0.271846,2.7,86.84,15.2,6.35,281.91
1069,1/27/2018,600519.SH,,,,,,,,,,0.444489,0.452532,,,,,
1068,1/28/2018,600519.SH,,,,,,,,,,0.508375,0.06861,,,,,
1067,1/29/2018,600519.SH,5637041.971,-40.9,736.32,779.67,735,778.76,-5.26,777.22,74535.51,0.492188,0.499994,19.75,82.8,14.75,6.22,276.86
1066,1/30/2018,600519.SH,3852705.098,5.76,742.08,748.77,730.02,736,0.78,736.32,51911.03,0.478568,1,19.68,81.4,14.85,6.24,277.81
1065,1/31/2018,600519.SH,4601994.781,22.46,764.54,771.71,739,739,3.03,742.08,60402.41,0.524103,0.503005,18.9,84.38,14.47,6.22,274.33
1064,2/1/2018,600519.SH,3846421.613,-6.81,757.73,767.3,752.92,767,-0.89,764.54,50582.61,0.48194,0.285179,17.1,82.98,13.8,5.99,270.8
1063,2/2/2018,600519.SH,5583742.782,-17.33,740.4,753.23,725,752.22,-2.29,757.73,75420.82,0.44757,0.971817,17.16,82.28,13.8,6.12,273.15
1062,2/3/2018,600519.SH,,,,,,,,,,0.544481,0.203101,,,,,
1061,2/4/2018,600519.SH,,,,,,,,,,0.515978,0.24192,,,,,
1060,2/5/2018,600519.SH,7104095.616,-22.17,718.23,729.96,705.6,727.22,-2.99,740.4,98995.85,0.475946,0.999847,16.38,77.87,13.69,6.7,267.52
1059,2/6/2018,600519.SH,6270888.575,-9.37,708.86,722.6,703,703,-1.3,718.23,88168.71,0.473536,0.316166,14.74,76.44,12.66,5.87,267.67
1058,2/7/2018,600519.SH,6231141.116,-25.43,683.43,723.88,682.01,720,-3.59,708.86,88289.98,0.45632,0.761903,14.7,71.2,12.68,5.91,269.72
1057,2/8/2018,600519.SH,5860233.484,17.56,700.99,718,682.2,682.2,2.57,683.43,83409.43,0.492162,0.837087,14.96,72.2,12.84,5.95,272
1056,2/9/2018,600519.SH,7160206.33,-17.56,683.43,689.89,658,680,-2.51,700.99,105578.26,0.498914,0.973765,14.65,71.2,12.39,5.4,270.24
1055,2/10/2018,600519.SH,,,,,,,,,,0.501594,0.688141,,,,,
1054,2/11/2018,600519.SH,,,,,,,,,,0.466105,0.71363,,,,,
1053,2/12/2018,600519.SH,4466343.242,14.05,697.48,705.5,685.2,691,2.06,683.43,64179.55,0.513793,0.678648,14.98,74.4,12.62,5.44,267.19
1052,2/13/2018,600519.SH,3793782.378,14.5,711.98,714.82,704.5,705.02,2.08,697.48,53389.18,0.512231,0.680146,15.15,75.1,12.66,5.45,261.63
1051,2/14/2018,600519.SH,2198728.707,6.47,718.45,720,712.22,720,0.91,711.98,30652.6,0.498239,0.695491,15.34,76.6,12.71,5.43,260.55
1050,2/15/2018,600519.SH,,,,,,,,,,0.379606,0.686049,,,,,257.99
1049,2/16/2018,600519.SH,,,,,,,,,,0.499683,0.67488,,,,,254
1048,2/17/2018,600519.SH,,,,,,,,,,0.511018,0.663219,,,,,
1047,2/18/2018,600519.SH,,,,,,,,,,0.464647,0.672101,,,,,
1046,2/19/2018,600519.SH,,,,,,,,,,0.444529,0.689136,,,,,262.3
1045,2/20/2018,600519.SH,,,,,,,,,,0.558867,0.787559,,,,,260.58
1044,2/21/2018,600519.SH,,,,,,,,,,0.509116,0.629399,,,,,262.97
1043,2/22/2018,600519.SH,3717469.267,24,742.45,744,723.24,727.3,3.34,718.45,50764.69,0.51614,0.607869,15.47,8.1,13.2,5.52,271.79
1042,2/23/2018,600519.SH,2844936.758,0.03,742.48,756.56,737,747,0,742.45,38158.77,0.58466,0.593251,15.63,79.64,13.16,5.53,272.58
1041,2/24/2018,600519.SH,,,,,,,,,,0.468364,0.725392,,,,,
1040,2/25/2018,600519.SH,,,,,,,,,,0.632386,0.791347,,,,,
1039,2/26/2018,600519.SH,3243216.345,1.03,743.51,752.05,733.02,746.88,0.14,742.48,43658.24,0.582746,0.54058,16.18,78.52,13.34,5.6,268.47
1038,2/27/2018,600519.SH,3181778.842,-5.53,737.98,756,737.22,749,-0.74,743.51,42601.54,0.503267,0.517953,16.1,76.1,13.24,5.63,264.7
1037,2/28/2018,600519.SH,3522004.686,-12.36,725.62,742.3,719,732,-1.67,737.98,48330.67,0.51871,0.478688,16,74.28,13.24,5.73,263.72
1036,3/1/2018,600519.SH,3303604.159,16.35,741.97,746.85,723.77,728,2.25,725.62,44794.65,0.593783,0.505544,16.4,74.32,13.32,5.68,269.1
1035,3/2/2018,600519.SH,1912613.83,-5.56,736.41,743.56,730,738,-0.75,741.97,25991.9,0.536739,0.576177,17.64,73.42,13.35,5.62,273
1034,3/3/2018,600519.SH,,,,,,,,,,0.522451,0.584548,,,,,
1033,3/4/2018,600519.SH,,,,,,,,,,0.529483,0.580571,,,,,
1032,3/5/2018,600519.SH,2703926.955,-16.3,720.11,742,717.03,738.18,-2.21,736.41,37234.7,0.452733,0.38219,18.26,72.9,13.48,5.61,265
1031,3/6/2018,600519.SH,4581658.583,-1.85,718.26,727.6,697.13,725,-0.26,720.11,64570.36,0.508498,0.243098,2.9,73.24,13.71,5.67,267.65
1030,3/7/2018,600519.SH,2480929.043,-8.22,710.04,724,708.99,715,-1.14,718.26,34595.94,0.526514,0.666676,2.17,73.28,13.76,5.58,268.9
1029,3/8/2018,600519.SH,2540452,12.72,722.76,724,708,714,1.79,710.04,35349.3,0.555998,0.99998,19.79,76.9,13.9,5.58,272.8
1028,3/9/2018,600519.SH,2199081.672,5.44,728.2,732.57,723.5,727.55,0.75,722.76,30171,0.526442,0.634769,19.41,77.1,14.2,5.6,270
1027,3/10/2018,600519.SH,,,,,,,,,,0.58638,0.556713,,,,,
1026,3/11/2018,600519.SH,,,,,,,,,,0.434747,0.854158,,,,,
1025,3/12/2018,600519.SH,2900950.557,-4.25,723.95,733.92,722.77,729.55,-0.58,728.2,39888.41,0.586351,0.474599,19.76,76.15,14.9,5.66,259.3
1024,3/13/2018,600519.SH,2764426.996,-13.6,710.35,726.6,710,723,-1.88,723.95,38577.09,0.470313,0.466664,19.67,74.61,14.7,5.59,259.41
1023,3/14/2018,600519.SH,2683830.11,16.53,726.88,728.08,707.22,709.67,2.33,710.35,37355.76,0.516992,0.456499,19.78,75.55,13.65,5.52,253
1022,3/15/2018,600519.SH,4161645.76,19.59,746.47,747,728.02,728.02,2.7,726.88,56148.79,0.475026,0.999982,2.26,78,13.83,5.53,250.4
1021,3/16/2018,600519.SH,2676682.524,-6.62,739.85,753.98,738.88,747.6,-0.89,746.47,35855.52,0.462434,0.088379,19.32,76.87,13.63,5.48,245.7
1020,3/17/2018,600519.SH,,,,,,,,,,0.479227,0.420667,,,,,
1019,3/18/2018,600519.SH,,,,,,,,,,0.433537,0.415404,,,,,
1018,3/19/2018,600519.SH,2897348.542,13.63,753.48,753.99,739,743.97,1.84,739.85,38666.58,0.498049,0.41905,18.8,77.71,13.7,5.48,244.35
1017,3/20/2018,600519.SH,2154897.794,-5.75,747.73,752,740,750,-0.76,753.48,28877.2,0.401134,0.395513,18.76,75.65,13.62,5.46,250
1016,3/21/2018,600519.SH,1996584.261,-5.73,742,753.11,740,750.11,-0.77,747.73,26742.71,0.461178,0.426748,18.54,74.52,14.7,5.47,239.98
1015,3/22/2018,600519.SH,2748721.669,-15.92,726.08,748,724.01,744,-2.15,742,37486.97,0.555894,0.43635,18.83,72.13,14.69,5.43,233.5
1014,3/23/2018,600519.SH,3727044.98,-15.02,711.06,723.49,700.08,701,-2.07,726.08,52546.77,0.562319,0.430938,18.2,71.37,13.73,5.6,232.61
1013,3/24/2018,600519.SH,,,,,,,,,,0.568799,0.383822,,,,,
1012,3/25/2018,600519.SH,,,,,,,,,,0.614189,0.440932,,,,,
