userId,userName,gz_num,fs_num,intro,age
3.09E+15,小司聊理财,0,130,小司聊理财，财富滚滚来，每天三分钟，轻松学理财。,3.3年
2.51E+15,股友Xprrya,11,0,这个人很懒，什么都没有留下,1.2年
8.63E+15,股友XnXVGZ,3,0,这个人很懒，什么都没有留下,6.1年
7.22E+15,股友EwZnzs,1,2,,5年
2.74E+15,爱问保险,0,10,爱问保险是国内专注于保险行业观察与研究报道的自媒体平台。,1年
5.21E+15,股友C1RKR9,0,53,这个人很懒，什么都没有留下,1.6年
8.41E+15,全班都炒股,14,1684,? 我家持有贵州茅台已N年。喜欢600868这个垃圾股。 ,4.3年
5.68E+15,蓝鲸财经,0,24465,专注财经新闻报道、财经事件解读。由国内多名资深媒体人担纲主编，第一时间财经新闻报道、财经事件解读，力推富有建设性的深度报道。,2年
5.09E+15,时代财经TF,0,52927,为市场提供有价值的财经参考资讯,3.8年
3.22E+15,up偶333333,0,30,,6个月
3.82E+15,精励联讯,0,1,作为中国保险行业领先的数据与分析专家，精励联讯借助国际领先的大数据技术和产品理念，开发适合中国车险市场的数据和分析产品，助力车险行业提升工作流程效率，降低业务风险。,7个月
1.75E+15,猴宝宝八嘎,115,195,这个人很懒，什么都没有留下,1.5年
2.80E+15,保险一哥,0,4,这个人很懒，什么都没有留下,1.3年
5.54E+15,联合资信,0,32357,联合资信始创于2000年，是中国信用评级行业的领先机构，资质完备、规模领先，致力于为资本市场投资者、监管机构、发行人及其他参与各方提供独立、客观、公正、科学的信用评级服务。,4.1年
2.59E+15,迪丽热哥,41,2990,看透真相的吃面群众,2.8年
4.55E+15,gaobingzhun,24,2,这个人很懒，什么都没有留下,1.7年
2.42E+15,招宝万金封不停,2,6,这个人很懒，什么都没有留下,1.4年
9.87E+15,微说健康,0,4,这个人很懒，什么都没有留下,1.3年
6.33E+15,六处影子,6,13,这个人很懒，什么都没有留下,11个月
9.94E+15,德力看涨1,76,152,这个人很懒，什么都没有留下,7.5年
4.54E+15,股市胖虎,10,16943,股市胖虎 畅行无阻,2.1年
2.69E+15,Antoniootonio1,0,9,这个人很懒，什么都没有留下,2.5年
1.75E+15,猴宝宝八嘎,115,195,这个人很懒，什么都没有留下,1.5年
9.07E+15,远离主力骗局,4,278,这个人很懒，什么都没有留下,9.1年
2.53E+15,专注大白马,5,18,冷静看待一切事物,3.8年
1.16E+15,股友yv9fj0,21,1,这个人很懒，什么都没有留下,1.5年
3.18E+15,柯奕信息,2,0,这个人很懒，什么都没有留下,2.7年
1.46E+15,往事埋在风中,0,0,一时理财一时爽，一直理财一直爽,2.8年
4.80E+15,国宝熊猫姐姐,13,0,这个人很懒，什么都没有留下,1.2年
9.48E+15,锦鲤保,0,16,最贴心靠谱的保险科普频道,9个月
6.01E+15,平步走走,2,1,这个人很懒，什么都没有留下,5.6年
2.53E+15,专注大白马,5,18,冷静看待一切事物,3.8年
9.89E+15,wjhuang1961,4,1,这个人很懒，什么都没有留下,7.5年
8.40E+15,大鸡腿腿,3,49,--,7年
9.53E+15,富可生财地若素,10,5,尽力而为…！,3.7年
1.84E+15,落袋为安万难贪,0,34,这个人很懒，什么都没有留下,5.9年
1.16E+15,股友yv9fj0,21,1,这个人很懒，什么都没有留下,1.5年
9.32E+15,想试牛刀,3,0,没有赚钱的老股民,3年
9.98E+15,股友PF9VZ8,3,0,这个人很懒，什么都没有留下,1年
1.16E+15,股友yv9fj0,21,1,这个人很懒，什么都没有留下,1.5年
9.29E+15,股中小小鬼,16,5,这个人很懒，什么都没有留下,5.8年
9.35E+15,股友k2Z3P6,2,6,这个人很懒，什么都没有留下,8个月
9.35E+15,股友k2Z3P6,2,6,这个人很懒，什么都没有留下,8个月
5.48E+15,我是小爽爽,9,3,我很懒，所以才没留下什么！！,5.4年
6.12E+15,股友a0bfgl,2,2,这个人很懒，什么都没有留下,1.1年
8.13E+15,股友dELkTb,22,1,这个人很懒，什么都没有留下,1.7年
1.84E+15,落袋为安万难贪,0,34,这个人很懒，什么都没有留下,5.9年
5.68E+15,蓝鲸财经,0,24465,专注财经新闻报道、财经事件解读。由国内多名资深媒体人担纲主编，第一时间财经新闻报道、财经事件解读，力推富有建设性的深度报道。,2年
5.12E+15,远东地区的暖阳,1,23,好行业，好公司，好价格。 短线在于强，长线在于低。 上涨不减仓，下跌不建仓。,2.5年
6.75E+15,科依伯一世,0,0,闭门造车，出门合辙,5.6年
9.29E+15,股中小小鬼,16,5,这个人很懒，什么都没有留下,5.8年
4.79E+15,股友Q7UMee,0,0,这个人很懒，什么都没有留下,1.7年
